update,entropy,episode_reward_mean,episodes_finished,imitation_loss,loss,policy_loss,samples,value_loss
1,0.02816529246047139,0.0,0.0,0.12540807202458382,0.0596394008025527,-0.006920044310390949,32.0,0.008399527985602617
2,0.0808761902153492,0.0,0.0,0.0632587461732328,0.02360899723134935,-0.01934718294069171,32.0,0.024397655390203
3,0.0,0.0,0.0,0.118651551194489,0.13335157744586468,-1.862645149230957e-08,32.0,0.14840760827064514
4,0.008781672455370426,-2.4320000000000004,1.0,0.08510544802993536,0.2540423646569252,-0.0005825050175189972,32.0,0.4246603474020958
5,1.2944283187389374,0.0,0.0,0.06085885129868984,-0.06323639117181301,-0.0808094097301364,32.0,0.00048004891141317785
6,6.661750316619873,0.0,0.0,0.06146682891994715,-0.1182332644239068,-0.10126595757901669,32.0,0.03820235561579466
7,16.867576122283936,0.0,0.0,0.06976488139480352,-0.2096967864781618,-0.11579153686761856,32.0,0.080264488235116
8,25.732142448425293,0.0,0.0,0.07414394989609718,-0.22965338826179504,-0.11092900112271309,32.0,0.20364325493574142
9,29.505836009979248,0.0,0.0,0.0987467267550528,-0.11546109057962894,-0.11789555288851261,32.0,0.49712761491537094
10,44.82518291473389,0.0,0.0,0.10901116579771042,0.011889050714671612,-0.11559776775538921,32.0,1.0435562133789062
11,63.83322525024414,0.0,0.0,0.10718861594796181,0.04924802482128143,-0.08430604077875614,32.0,1.4377630352973938
12,62.6363582611084,5.510000000000001,1.0,0.10594410263001919,0.3083081617951393,-0.06332752201706171,32.0,1.8913257420063019
13,0.06258379854261875,0.0,0.0,0.09506933018565178,0.030878717079758644,-0.019430161453783512,32.0,0.008036002982407808
14,0.5098604932427406,0.0,0.0,0.1296299658715725,0.13843679428100586,-0.0408899849280715,32.0,0.24103562533855438
15,0.3021809607744217,0.0,0.0,0.11574621684849262,0.42322924733161926,-0.02717784885317087,32.0,0.7928477972745895
16,0.20972882583737373,-1.108,1.0,0.0973701998591423,0.05929500423371792,-0.002380174584686756,32.0,0.03173265513032675
17,2.8234261870384216,0.0,0.0,0.09037460386753082,-0.0621651797555387,-0.08676382433623075,32.0,0.016827581450343132
18,7.570858836174011,0.0,0.0,0.10079121962189674,-0.11934691295027733,-0.11214197240769863,32.0,0.03803031798452139
