update,entropy,episode_reward_mean,episodes_finished,imitation_loss,loss,policy_loss,samples,value_loss
1,0.0244835102930665,0.0,0.0,0.12420379836112261,0.060605101054534316,-0.0013201329857110977,32.0,0.0002605425725050736
2,0.18634498491883278,0.0,0.0,0.06287121400237083,0.02152695064432919,-0.01019046176224947,32.0,0.004416249925270677
3,0.0797990020364523,0.0,0.0,0.11851068865507841,0.05251346994191408,-0.018527540378272533,32.0,0.02552284812554717
4,1.0719487369060516,0.0,0.0,0.08354528713971376,0.03840753762051463,-0.04553460190072656,32.0,0.1061121467500925
5,0.030559082981199026,0.0,0.0,0.06531132012605667,0.1544308327138424,0.0003948980011045933,32.0,0.24369827657938004
6,0.20134975761175156,0.0,0.0,0.0637098541483283,0.3505564033985138,-0.020687265321612358,32.0,0.6831867396831512
7,0.10316284000873566,0.0,0.0,0.07672816701233387,0.466001458466053,-0.0024257153272628784,32.0,0.862726554274559
8,0.008359714993275702,-5.046000000000002,1.0,0.07851522276178002,0.7044831663370132,-0.0011202585883438587,32.0,1.3334869146347046
9,0.47242366522550583,0.0,0.0,0.09922620840370655,0.026176063809543848,-0.018417530693113804,32.0,0.00030249203700805083
10,1.1827448904514313,0.0,0.0,0.10852579772472382,-0.027803662233054638,-0.07174878753721714,32.0,0.004104599705897272
11,6.442721486091614,0.0,0.0,0.10847037006169558,-0.10669001936912537,-0.09995576739311218,32.0,0.008108727051876485
12,9.625357866287231,0.0,0.0,0.11386602185666561,-0.07695690542459488,-0.08841909468173981,32.0,0.10293189808726311
13,9.952057123184204,0.0,0.0,0.08891292661428452,-0.036527580581605434,-0.1170277651399374,32.0,0.27228444814682007
14,4.512812852859497,0.0,0.0,0.12623926624655724,0.14391090534627438,-0.10103168152272701,32.0,0.45566951483488083
15,1.8469136655330658,0.0,0.0,0.10635794326663017,0.27422280609607697,-0.03347009001299739,32.0,0.5475614964962006
16,0.0,0.0,0.0,0.08843601867556572,0.28962773084640503,-1.0617077350616455e-07,32.0,0.49223461747169495
17,0.05946463439613581,-1.312,1.0,0.08735158108174801,0.05786393955349922,-0.0010587964206933975,32.0,0.033168159425258636
18,0.36106380820274353,0.0,0.0,0.08947156649082899,0.020090429112315178,-0.027752277441322803,32.0,0.015045612817630172
19,0.2423873282968998,0.0,0.0,0.09853019658476114,0.11075158044695854,-0.018472515046596527,32.0,0.1666378155350685
20,0.015426412457600236,-1.89,1.0,0.08216745592653751,0.09545423462986946,-0.0015308437868952751,32.0,0.11375457793474197
21,1.02183997631073,0.0,0.0,0.07191407028585672,-0.02557841781526804,-0.05089926207438111,32.0,0.0006746091530658305
22,4.659743309020996,0.0,0.0,0.09208879619836807,-0.10012394841760397,-0.09921620599925518,32.0,0.0013165339769329876
23,6.755019783973694,0.0,0.0,0.08852243050932884,-0.12987959291785955,-0.11212261766195297,32.0,0.013100025476887822
24,4.860414147377014,0.0,0.0,0.15358485653996468,-0.00876549631357193,-0.07879845052957535,32.0,0.08737537451088428
25,8.317841053009033,0.0,0.0,0.14303109887987375,-0.10449976474046707,-0.10124273085966706,32.0,0.020387414377182722
26,4.809889793395996,0.0,0.0,0.09114175755530596,-0.021483812481164932,-0.07920061238110065,32.0,0.12285932525992393
27,3.600836932659149,0.0,0.0,0.1526069100946188,-0.019040998071432114,-0.08045313134789467,32.0,0.04635448940098286
28,4.487251877784729,0.0,0.0,0.10560940764844418,-0.06369227776303887,-0.07589596696197987,32.0,0.011500074760988355
29,3.1132501363754272,0.0,0.0,0.12168257869780064,-0.036832221783697605,-0.08374478295445442,32.0,0.037936339154839516
30,1.791797935962677,0.0,0.0,0.12592757865786552,0.05276437383145094,-0.039530057460069656,32.0,0.09827506355941296
31,0.5290082693099976,0.0,0.0,0.12933753058314323,0.05326756136491895,-0.025079512037336826,32.0,0.04194624628871679
32,1.0654580295085907,0.0,0.0,0.11927960254251957,0.11781422793865204,-0.04227573238313198,32.0,0.22602642327547073
33,1.6802473962306976,0.0,0.0,0.12088794820010662,-0.0046547697857022285,-0.06141440290957689,32.0,0.030225567519664764
34,0.26832956820726395,0.0,0.0,0.10308626294136047,0.06032502371817827,-0.016918201930820942,32.0,0.060271711088716984
35,0.019726930186152458,-2.09,1.0,0.09404377872124314,0.09462103433907032,-0.01003536069765687,32.0,0.11895508877933025
36,1.4863679111003876,0.0,0.0,0.08163265744224191,-0.017665026243776083,-0.04284984432160854,32.0,0.00140311339055188
37,2.141501247882843,0.0,0.0,0.11538841016590595,-0.008704504929482937,-0.04944377578794956,32.0,0.013189526740461588
38,5.253813147544861,0.0,0.0,0.0986615875735879,-0.048862721771001816,-0.08267447748221457,32.0,0.07778732478618622
39,9.234777688980103,0.0,0.0,0.05732503533363342,-0.08306837501004338,-0.0877217035740614,32.0,0.1389128528535366
40,18.33267307281494,0.0,0.0,0.10033390671014786,0.08851297665387392,-0.0993961626663804,32.0,0.6461511850357056
41,26.656609058380127,0.0,0.0,0.10589752346277237,0.4686283767223358,-0.10991366300731897,32.0,1.5886605381965637
42,34.21482563018799,0.0,0.0,0.09427578933537006,0.859792485833168,-0.06280753202736378,32.0,2.439180314540863
43,29.162867069244385,5.464000000000001,1.0,0.06689423508942127,0.6126399338245392,-0.06716222316026688,32.0,1.8788438737392426
44,0.3457249775528908,0.0,0.0,0.08404458966106176,0.02523373207077384,-0.015978786163032055,32.0,0.008992909919470549
45,2.8534677028656006,0.0,0.0,0.14357487671077251,0.12786415219306946,-0.06291224714368582,32.0,0.3015081509947777
46,0.05330439656972885,0.0,0.0,0.12156353238970041,0.5303097665309906,-0.0051229652017354965,32.0,0.9559599310159683
47,0.21577777341008186,-4.887999999999999,1.0,0.14099709130823612,0.4329019784927368,-0.02273625135421753,32.0,0.78122179210186
48,1.7965816855430603,0.0,0.0,0.11275373212993145,-0.00565386563539505,-0.043131934478878975,32.0,0.0035462122032186016
49,1.7411747872829437,0.0,0.0,0.12418488319963217,0.01332712173461914,-0.02934461086988449,32.0,0.002067136447294615
50,1.9948238730430603,0.0,0.0,0.1066878279671073,0.048769666347652674,-0.05332628800533712,32.0,0.14273494854569435
51,0.15358072146773338,0.0,0.0,0.08661976270377636,0.215437863022089,-0.006976264412514865,32.0,0.3656977117061615
52,0.01658343616873026,-2.148,1.0,0.0930263102054596,0.05486819241195917,-0.00053402129560709,32.0,0.022947152145206928
53,0.0,0.0,0.0,0.08877753000706434,0.0826505608856678,-9.720679372549057e-08,32.0,0.08122899197041988
54,0.1235397718846798,0.0,0.0,0.10658317059278488,0.26523710787296295,-0.008309531025588512,32.0,0.44873638451099396
55,0.02764564799144864,-1.704,1.0,0.11983546800911427,0.07613677438348532,-1.2009870260953903e-05,32.0,0.039605963975191116
56,0.32258468866348267,0.0,0.0,0.08952801674604416,0.01138638611882925,-0.03422483894973993,32.0,0.01315969554707408
57,2.964928388595581,0.0,0.0,0.12247415445744991,0.010630444623529911,-0.05121819023042917,32.0,0.06750270444899797
58,5.110444068908691,0.0,0.0,0.12252057623118162,-0.05275940988212824,-0.08054338581860065,32.0,0.042362446896731853
59,7.908892631530762,0.0,0.0,0.1671979147940874,-0.07483286038041115,-0.07649104273878038,32.0,0.004160985525231808
60,10.509955406188965,0.0,0.0,0.08853149507194757,-0.13540232554078102,-0.09566692635416985,32.0,0.047508710995316505
61,12.869930982589722,0.0,0.0,0.10415972024202347,-0.1200166828930378,-0.08295608311891556,32.0,0.08547144941985607
62,9.932769060134888,0.0,0.0,0.1391516476869583,-0.04390266723930836,-0.08364862203598022,32.0,0.14762303233146667
63,4.570334315299988,0.0,0.0,0.11163547821342945,0.17998866736888885,-0.07245880551636219,32.0,0.491699181497097
