update,entropy,episode_reward_mean,episodes_finished,imitation_loss,loss,policy_loss,samples,value_loss
1,2.1648948788642883,0.0,0.0,0.0,-0.05562254972755909,-0.0004085274413228035,32.0,0.019465641118586063
2,4.833593487739563,0.0,0.0,0.0,-0.11049668304622173,-0.004136864095926285,32.0,0.07729595713317394
3,1.7542281746864319,0.0,0.0,0.0,0.19074130803346634,4.815543070435524e-05,32.0,0.48663999885320663
4,0.7299657016992569,0.0,0.0,0.0,0.14297670498490334,-6.613507866859436e-05,32.0,0.3298836201429367
5,3.218817710876465,-1.112,1.0,0.0,-0.08922548219561577,-0.0001758076250553131,32.0,0.015029710717499256
6,10.947888612747192,0.0,0.0,0.0,-0.33074473589658737,-0.0030424073338508606,32.0,0.0014686361828353256
7,16.463703155517578,0.0,0.0,0.0,-0.5061672553420067,-0.015132942236959934,32.0,0.005753550445660949
8,22.62928533554077,0.0,0.0,0.0,-0.6876013875007629,-0.010243690572679043,32.0,0.0030416962690651417
9,28.597317218780518,0.0,0.0,0.0,-0.8616043478250504,-0.007951298728585243,32.0,0.008532921085134149
10,32.39386177062988,0.0,0.0,0.0,-0.9704591035842896,-0.001670338213443756,32.0,0.006054158788174391
11,34.67089366912842,0.0,0.0,0.0,-1.0375040471553802,-0.0012015863321721554,32.0,0.00764866970712319
12,40.54060173034668,0.0,0.0,0.0,-1.2143580615520477,-0.0019807638600468636,32.0,0.007681415299884975
13,45.39948558807373,0.0,0.0,0.0,-1.3601391315460205,-0.001799518708139658,32.0,0.007289797533303499
14,39.46677207946777,0.0,0.0,0.0,-1.1877180933952332,-0.006394661031663418,32.0,0.005359428934752941
15,41.69609355926514,0.0,0.0,0.0,-1.254260629415512,-0.011658425210043788,32.0,0.01656104321591556
16,45.8716983795166,0.0,0.0,0.0,-1.3530562818050385,0.003001953475177288,32.0,0.04018531274050474
17,47.67531871795654,0.0,0.0,0.0,-1.4208293557167053,-0.00425507128238678,32.0,0.027370476629585028
18,48.00289440155029,0.0,0.0,0.0,-1.4404847919940948,-0.004110807087272406,32.0,0.007425580872222781
19,55.90495300292969,0.0,0.0,0.0,-1.6689468622207642,-0.00524135259911418,32.0,0.02688608830794692
20,34.53250312805176,1.376,1.0,0.0,-0.9618919044733047,-0.00538739375770092,32.0,0.15894104167819023
21,1.6996816098690033,0.0,0.0,0.0,-0.05154933501034975,-0.0010479770135134459,32.0,0.0009781756489246618
22,2.8588132858276367,0.0,0.0,0.0,-0.08599080704152584,-0.00038574193604290485,32.0,0.0003186646645190194
23,4.879789233207703,0.0,0.0,0.0,-0.14590156078338623,-0.000895276665687561,32.0,0.002774786204099655
24,9.995632886886597,0.0,0.0,0.0,-0.2947131544351578,-0.007360220421105623,32.0,0.025032080244272947
25,15.91494345664978,0.0,0.0,0.0,-0.4334920570254326,-0.011596356518566608,32.0,0.1111051831394434
26,19.44874620437622,0.0,0.0,0.0,-0.5619823783636093,-0.0017489958554506302,32.0,0.04645800683647394
27,15.711561441421509,0.0,0.0,0.0,-0.4345148801803589,-0.002514998894184828,32.0,0.07869391795247793
28,13.239416599273682,0.0,0.0,0.0,-0.34207185357809067,-0.001395896077156067,32.0,0.11301306448876858
29,9.420964479446411,0.0,0.0,0.0,-0.27007514983415604,-0.00018251780420541763,32.0,0.02547258697450161
30,7.00209105014801,0.0,0.0,0.0,-0.17383916303515434,-0.002432518405839801,32.0,0.07731216307729483
31,5.261814117431641,0.0,0.0,0.0,-0.11150353960692883,0.0006339331157505512,32.0,0.09143390227109194
32,2.6725109815597534,0.0,0.0,0.0,-0.0629311092197895,-0.0024289917200803757,32.0,0.03934642346575856
33,2.269941985607147,0.0,0.0,0.0,-0.0394384516403079,0.0005231420509517193,32.0,0.056273328140378
34,0.6635901182889938,0.0,0.0,0.0,-0.011362173594534397,-0.0017140181735157967,32.0,0.020519095938652754
35,0.12968405708670616,0.0,0.0,0.0,0.2622317522764206,-0.0014323131181299686,32.0,0.5351091623306274
