update,entropy,episode_reward_mean,episodes_finished,imitation_loss,loss,policy_loss,samples,value_loss
1,2.16484135389328,0.0,0.0,0.0,-0.06048256903886795,-0.0020003169775009155,32.0,0.01292597403516993
2,4.997315764427185,0.0,0.0,0.0,-0.15612230077385902,-0.028529777540825307,32.0,0.04465388646349311
3,0.9609757363796234,0.0,0.0,0.0,0.1453792117536068,0.0004648640751838684,32.0,0.3474872335791588
4,0.5842579305171967,-3.4920000000000013,1.0,0.0,0.09743192419409752,-0.002418854273855686,32.0,0.23475703597068787
5,3.45428067445755,0.0,0.0,0.0,-0.1159607470035553,-0.01611998165026307,32.0,0.0075752983102574944
6,9.885491609573364,0.0,0.0,0.0,-0.3059273734688759,-0.010734487790614367,32.0,0.0027437107637524605
7,17.359495639801025,0.0,0.0,0.0,-0.5289570242166519,-0.010401472449302673,32.0,0.004458622774109244
8,21.06977891921997,0.0,0.0,0.0,-0.6492627114057541,-0.021938291611149907,32.0,0.009537873673252761
9,21.91761541366577,0.0,0.0,0.0,-0.6497342437505722,-0.0009269262664020061,32.0,0.01744225062429905
10,20.455897331237793,0.0,0.0,0.0,-0.5943940579891205,-0.004183802753686905,32.0,0.046933273784816265
11,16.344487190246582,0.0,0.0,0.0,-0.482204832136631,-0.0022238376550376415,32.0,0.020707215182483196
12,19.169243812561035,0.0,0.0,0.0,-0.5680800825357437,0.00037195440381765366,32.0,0.01325056329369545
13,19.89071035385132,0.0,0.0,0.0,-0.5927805602550507,-0.0035217320546507835,32.0,0.014924938906915486
14,16.0106201171875,0.0,0.0,0.0,-0.4736194536089897,-0.008489171974360943,32.0,0.03037663036957383
15,11.204317331314087,0.0,0.0,0.0,-0.2897299826145172,-0.0022420836612582207,32.0,0.09728322178125381
16,9.922354936599731,0.0,0.0,0.0,-0.2981582581996918,-0.012884659692645073,32.0,0.024794092401862144
17,8.091212272644043,0.0,0.0,0.0,-0.2318170666694641,-0.004855324048548937,32.0,0.03154923999682069
18,8.487415790557861,0.0,0.0,0.0,-0.2368859201669693,-0.001396477222442627,32.0,0.038266056682914495
19,4.876470327377319,0.0,0.0,0.0,-0.07415571808815002,0.00018596486188471317,32.0,0.14390484429895878
20,1.8395384550094604,-2.058,1.0,0.0,0.24232210591435432,-0.0003338512033224106,32.0,0.595684215426445
21,2.301052451133728,0.0,0.0,0.0,-0.04698391165584326,0.00010101031512022018,32.0,0.04389330046251416
