agent_0,agent_1,agent_2,agent_3,seed,rot,reward_0,score_0,rank_0,status_0,reward_1,score_1,rank_1,status_1,reward_2,score_2,rank_2,status_2,reward_3,score_3,rank_3,status_3,seconds
tamrazov_1224,producer,ow_proto,enders_1000,20003,3,-1.0,0.0,2,DONE,1.0,1584.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,27.8
producer,ow_proto,enders_1000,tamrazov_1224,20000,0,1.0,2420.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,43.0
ow_proto,enders_1000,tamrazov_1224,producer,20001,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,3659.0,1,DONE,46.3
enders_1000,tamrazov_1224,producer,ow_proto,20002,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,4452.0,1,DONE,-1.0,0.0,2,DONE,57.6
enders_1000,distance_1100,producer,ow_proto,20002,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,5714.0,1,DONE,-1.0,0.0,2,DONE,36.6
ow_proto,enders_1000,distance_1100,producer,20001,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2144.0,1,DONE,43.1
producer,ow_proto,enders_1000,distance_1100,20000,0,1.0,2994.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,83.0
producer,ow_proto,enders_1000,apex,20000,0,1.0,2097.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,40.0
apex,producer,ow_proto,enders_1000,20003,3,-1.0,0.0,2,DONE,1.0,2249.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,47.5
ow_proto,enders_1000,apex,producer,20001,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2715.0,1,DONE,88.9
enders_1000,apex,producer,ow_proto,20002,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,4726.0,1,DONE,-1.0,0.0,2,DONE,68.2
distance_1100,producer,ow_proto,enders_1000,20003,3,-1.0,0.0,2,DONE,1.0,5728.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,137.7
producer,ow_proto,enders_1000,exit_v2_exit_embed256_last,20000,0,1.0,2237.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,27.1
enders_1000,exit_v2_exit_embed256_last,producer,ow_proto,20002,2,1.0,5049.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,34.0
ow_proto,enders_1000,exit_v2_exit_embed256_last,producer,20001,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,4377.0,1,DONE,34.8
exit_v2_exit_embed256_last,producer,ow_proto,enders_1000,20003,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,3988.0,1,DONE,38.4
ow_proto,tamrazov_1224,distance_1100,producer,20001,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,3228.0,1,DONE,37.4
