agent_0,agent_1,agent_2,agent_3,seed,rot,reward_0,score_0,rank_0,status_0,reward_1,score_1,rank_1,status_1,reward_2,score_2,rank_2,status_2,reward_3,score_3,rank_3,status_3,steps,seconds
producer_v2,v5,v5_contest_waves0,producer,20003,3,1.0,1205.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,99,13.0
v5,v5_contest_waves0,producer,tamrazov_1224,20000,0,-1.0,0.0,2,DONE,1.0,3053.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,214,27.7
v5_contest_waves0,producer,producer_v2,v5,20001,1,1.0,3475.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,243,40.8
producer,tamrazov_1224,v5,v5_contest_waves0,20002,2,1.0,1191.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,130,28.6
v5,v5_contest_waves0,producer,producer_v2,20000,0,-1.0,0.0,2,DONE,1.0,2546.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,168,42.6
v5_contest_waves0,producer,tamrazov_1224,v5,20001,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2950.0,1,DONE,123,47.0
producer,producer_v2,v5,v5_contest_waves0,20002,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2872.0,1,DONE,209,54.0
tamrazov_1224,v5,v5_contest_waves0,producer,20003,3,-1.0,0.0,2,DONE,1.0,2655.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,148,28.4
v5_contest_waves0,producer,enders_1000,v5,20001,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2124.0,1,DONE,98,13.2
enders_1000,v5,v5_contest_waves0,producer,20003,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,1202.0,1,DONE,-1.0,0.0,2,DONE,85,16.2
