agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20005,1,a,1,-1,DONE,DONE,98,30.8
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20003,1,a,1,-1,DONE,DONE,134,41.3
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20001,1,a,1,-1,DONE,DONE,135,44.8
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20006,0,a,1,-1,DONE,DONE,134,36.9
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20008,0,a,1,-1,DONE,DONE,93,22.8
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20007,1,a,1,-1,DONE,DONE,175,50.4
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20000,0,a,1,-1,DONE,DONE,209,64.2
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20004,0,b,-1,1,DONE,DONE,225,67.2
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20014,0,a,1,-1,DONE,DONE,119,29.7
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20009,1,b,-1,1,DONE,DONE,182,56.0
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20011,1,b,-1,1,DONE,DONE,154,44.4
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20010,0,a,1,-1,DONE,DONE,148,51.0
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20013,1,a,1,-1,DONE,DONE,122,38.9
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20015,1,a,1,-1,DONE,DONE,129,36.3
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20012,0,b,-1,1,DONE,DONE,209,65.3
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20017,1,b,-1,1,DONE,DONE,95,28.6
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20002,0,a,1,-1,DONE,DONE,499,122.2
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20018,0,a,1,-1,DONE,DONE,127,35.0
v5_opening_phase_turns40_opening_roi_threshold0.8,producer,20016,0,b,-1,1,DONE,DONE,158,38.3
