agent_0,agent_1,agent_2,agent_3,seed,rot,reward_0,score_0,rank_0,status_0,reward_1,score_1,rank_1,status_1,reward_2,score_2,rank_2,status_2,reward_3,score_3,rank_3,status_3,steps,seconds
v5_ffa_leader_attack_bonus0.15,v5,producer,tamrazov_1224,20000,0,-1.0,0.0,2,DONE,1.0,1530.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,125,17.4
v5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20001,1,1.0,1842.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,115,23.1
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,20002,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2396.0,1,DONE,121,30.1
v5_ffa_leader_attack_bonus0.15,v5,producer,tamrazov_1224,20004,0,-1.0,0.0,2,DONE,1.0,779.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,149,31.7
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,producer,20003,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2524.0,1,DONE,-1.0,0.0,2,DONE,104,34.9
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,20006,2,1.0,3037.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,186,23.0
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,producer,20007,3,-1.0,0.0,2,DONE,1.0,1022.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,199,21.3
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,producer,20011,3,-1.0,0.0,2,DONE,1.0,2717.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,170,19.9
v5_ffa_leader_attack_bonus0.15,v5,producer,tamrazov_1224,20012,0,-1.0,0.0,2,DONE,1.0,2480.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,92,14.9
v5_ffa_leader_attack_bonus0.15,v5,producer,tamrazov_1224,20008,0,-1.0,0.0,2,DONE,1.0,3785.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,164,50.0
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,20014,2,1.0,2597.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,125,21.5
v5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20013,1,-1.0,0.0,2,DONE,1.0,1861.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,140,31.4
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,20010,2,1.0,3621.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,133,55.7
v5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20005,1,-1.0,0.0,3,DONE,1.0,6695.0,1,DONE,-1.0,0.0,3,DONE,-1.0,350.0,2,DONE,499,99.3
v5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20009,1,-1.0,322.0,2,DONE,-1.0,0.0,3,DONE,-1.0,0.0,3,DONE,1.0,14561.0,1,DONE,499,75.6
v5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20017,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2067.0,1,DONE,120,24.2
v5_ffa_leader_attack_bonus0.15,v5,producer,tamrazov_1224,20020,0,-1.0,0.0,2,DONE,1.0,2173.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,146,26.8
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,producer,20019,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,3203.0,1,DONE,150,44.9
v5_ffa_leader_attack_bonus0.15,v5,producer,tamrazov_1224,20016,0,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2020.0,1,DONE,-1.0,0.0,2,DONE,124,52.7
v5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20021,1,1.0,1558.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,160,38.8
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,20022,2,1.0,1013.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,193,31.5
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,producer,20023,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,942.0,1,DONE,-1.0,0.0,2,DONE,116,41.2
v5_ffa_leader_attack_bonus0.15,v5,producer,tamrazov_1224,20024,0,-1.0,0.0,2,DONE,1.0,3456.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,150,47.2
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,producer,20015,3,-1.0,0.0,3,DONE,1.0,3855.0,1,DONE,-1.0,180.0,2,DONE,-1.0,0.0,3,DONE,499,125.4
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,20026,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,1493.0,1,DONE,229,38.7
v5_ffa_leader_attack_bonus0.15,v5,producer,tamrazov_1224,20028,0,-1.0,0.0,2,DONE,1.0,2392.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,170,25.1
v5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20025,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2874.0,1,DONE,199,57.3
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,producer,20027,3,-1.0,0.0,2,DONE,1.0,3099.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,184,50.7
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,20018,2,1.0,8544.0,1,DONE,-1.0,0.0,3,DONE,-1.0,240.0,2,DONE,-1.0,0.0,3,DONE,499,139.9
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,producer,20031,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,3341.0,1,DONE,-1.0,0.0,2,DONE,181,27.1
v5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20029,1,1.0,3139.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,120,49.6
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,20030,2,1.0,2374.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,352,44.9
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,producer,20035,3,-1.0,0.0,2,DONE,1.0,2905.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,156,25.4
v5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20037,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,1545.0,1,DONE,102,36.5
v5_ffa_leader_attack_bonus0.15,v5,producer,tamrazov_1224,20032,0,-1.0,0.0,2,DONE,1.0,10397.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,385,81.9
v5_ffa_leader_attack_bonus0.15,v5,producer,tamrazov_1224,20036,0,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,1618.0,1,DONE,-1.0,0.0,2,DONE,153,46.3
v5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20033,1,1.0,3249.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,195,66.3
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,20038,2,1.0,2764.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,148,39.1
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,20034,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2021.0,1,DONE,298,88.5
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,producer,20039,3,-1.0,0.0,2,DONE,1.0,5613.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,198,51.2
v5_ffa_leader_attack_bonus0.15,v5,producer,tamrazov_1224,20044,0,-1.0,0.0,2,DONE,1.0,1927.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,165,30.0
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,20042,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2054.0,1,DONE,-1.0,0.0,2,DONE,130,52.7
v5_ffa_leader_attack_bonus0.15,v5,producer,tamrazov_1224,20040,0,-1.0,0.0,2,DONE,1.0,1045.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,163,59.3
v5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20041,1,-1.0,3557.0,2,DONE,-1.0,0.0,3,DONE,-1.0,0.0,3,DONE,1.0,10312.0,1,DONE,499,72.3
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,20046,2,1.0,1312.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,178,29.7
v5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20045,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,3496.0,1,DONE,158,34.5
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,producer,20043,3,-1.0,0.0,2,DONE,1.0,3513.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,316,76.0
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5,producer,20047,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,3116.0,1,DONE,-1.0,0.0,2,DONE,242,46.1
