agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5,producer,20001,1,b,-1,1,DONE,DONE,137,26.7
v5,producer,20003,1,b,-1,1,DONE,DONE,159,35.6
v5,producer,20002,0,a,1,-1,DONE,DONE,147,35.6
v5,producer,20004,0,b,-1,1,DONE,DONE,169,37.3
v5,producer,20000,0,b,-1,1,DONE,DONE,190,48.2
v5,producer,20005,1,a,1,-1,DONE,DONE,204,48.9
v5,producer,20008,0,b,-1,1,DONE,DONE,131,20.8
v5,producer,20009,1,a,1,-1,DONE,DONE,172,23.5
v5,producer,20007,1,a,1,-1,DONE,DONE,124,30.0
v5,producer,20012,0,a,1,-1,DONE,DONE,112,16.5
v5,producer,20006,0,a,1,-1,DONE,DONE,198,50.8
v5,producer,20010,0,b,-1,1,DONE,DONE,125,27.7
v5,producer,20013,1,b,-1,1,DONE,DONE,161,30.0
v5,producer,20011,1,a,1,-1,DONE,DONE,184,42.3
v5,producer,20014,0,a,1,-1,DONE,DONE,142,28.6
v5,producer,20016,0,b,-1,1,DONE,DONE,188,31.2
v5,producer,20018,0,b,-1,1,DONE,DONE,111,19.5
v5,producer,20015,1,a,1,-1,DONE,DONE,206,40.6
v5,producer,20017,1,a,1,-1,DONE,DONE,174,38.0
v5,producer,20020,0,a,1,-1,DONE,DONE,101,22.3
v5,producer,20021,1,b,-1,1,DONE,DONE,103,18.7
v5,producer,20019,1,a,1,-1,DONE,DONE,170,40.3
v5,producer,20022,0,a,1,-1,DONE,DONE,119,20.4
v5,producer,20027,1,a,1,-1,DONE,DONE,112,26.2
v5,producer,20024,0,b,-1,1,DONE,DONE,126,29.8
v5,producer,20023,1,b,-1,1,DONE,DONE,183,36.2
v5,producer,20025,1,a,1,-1,DONE,DONE,148,32.9
v5,producer,20028,0,a,1,-1,DONE,DONE,116,29.7
v5,producer,20026,0,a,1,-1,DONE,DONE,153,43.1
v5,producer,20029,1,b,-1,1,DONE,DONE,142,33.9
v5,producer,20031,1,a,1,-1,DONE,DONE,133,39.1
v5,producer,20034,0,a,1,-1,DONE,DONE,100,30.5
v5,producer,20032,0,b,-1,1,DONE,DONE,180,57.7
v5,producer,20036,0,a,1,-1,DONE,DONE,115,36.9
v5,producer,20030,0,b,-1,1,DONE,DONE,202,61.6
v5,producer,20033,1,b,-1,1,DONE,DONE,174,58.2
v5,producer,20035,1,a,1,-1,DONE,DONE,154,47.6
v5,producer,20037,1,a,1,-1,DONE,DONE,182,52.5
v5,producer,20038,0,b,-1,1,DONE,DONE,143,48.6
v5,producer,20039,1,b,-1,1,DONE,DONE,129,34.8
v5,producer,20041,1,b,-1,1,DONE,DONE,122,36.4
v5,producer,20042,0,a,1,-1,DONE,DONE,128,39.3
v5,producer,20040,0,a,1,-1,DONE,DONE,180,52.9
v5,producer,20043,1,a,1,-1,DONE,DONE,108,27.5
v5,producer,20048,0,a,1,-1,DONE,DONE,104,31.4
v5,producer,20047,1,a,1,-1,DONE,DONE,130,30.8
v5,producer,20044,0,b,-1,1,DONE,DONE,296,80.7
v5,producer,20046,0,b,-1,1,DONE,DONE,183,60.3
v5,producer,20049,1,b,-1,1,DONE,DONE,130,40.5
v5,producer,20051,1,b,-1,1,DONE,DONE,116,30.5
v5,producer,20050,0,b,-1,1,DONE,DONE,144,45.2
v5,producer,20045,1,b,-1,1,DONE,DONE,384,103.0
v5,producer,20052,0,a,1,-1,DONE,DONE,122,36.6
v5,producer,20054,0,b,-1,1,DONE,DONE,131,40.9
v5,producer,20053,1,a,1,-1,DONE,DONE,102,27.3
v5,producer,20055,1,b,-1,1,DONE,DONE,147,43.7
v5,producer,20056,0,a,1,-1,DONE,DONE,103,27.6
v5,producer,20059,1,a,1,-1,DONE,DONE,142,34.7
v5,producer,20060,0,a,1,-1,DONE,DONE,147,42.6
v5,producer,20058,0,b,-1,1,DONE,DONE,243,68.5
v5,producer,20061,1,b,-1,1,DONE,DONE,181,54.4
v5,producer,20057,1,a,1,-1,DONE,DONE,208,70.2
v5,producer,20063,1,a,1,-1,DONE,DONE,110,38.0
v5,producer,20064,0,a,1,-1,DONE,DONE,145,37.2
v5,producer,20065,1,b,-1,1,DONE,DONE,96,27.5
v5,producer,20067,1,a,1,-1,DONE,DONE,144,39.6
v5,producer,20066,0,a,1,-1,DONE,DONE,132,36.8
v5,producer,20069,1,a,1,-1,DONE,DONE,128,38.9
v5,producer,20068,0,a,1,-1,DONE,DONE,170,45.8
v5,producer,20072,0,a,1,-1,DONE,DONE,102,26.2
v5,producer,20062,0,a,1,-1,DONE,DONE,499,127.3
v5,producer,20070,0,b,-1,1,DONE,DONE,137,41.0
v5,producer,20073,1,a,1,-1,DONE,DONE,129,33.3
v5,producer,20076,0,b,-1,1,DONE,DONE,112,33.6
v5,producer,20077,1,a,1,-1,DONE,DONE,123,36.4
v5,producer,20075,1,b,-1,1,DONE,DONE,135,43.7
v5,producer,20074,0,a,1,-1,DONE,DONE,170,49.7
v5,producer,20079,1,a,1,-1,DONE,DONE,133,35.4
v5,producer,20082,0,a,1,-1,DONE,DONE,103,29.3
v5,producer,20081,1,a,1,-1,DONE,DONE,166,39.5
v5,producer,20078,0,b,-1,1,DONE,DONE,194,59.7
v5,producer,20080,0,b,-1,1,DONE,DONE,193,53.7
v5,producer,20083,1,a,1,-1,DONE,DONE,109,28.8
v5,producer,20071,1,tie,1,1,DONE,DONE,499,151.0
