agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5_cheap_capture_margin4,v5,20003,1,a,1,-1,DONE,DONE,153,9.7
v5_cheap_capture_margin4,v5,20004,0,a,1,-1,DONE,DONE,105,12.1
v5_cheap_capture_margin4,v5,20001,1,b,-1,1,DONE,DONE,236,15.2
v5_cheap_capture_margin4,v5,20005,1,a,1,-1,DONE,DONE,200,25.0
v5_cheap_capture_margin4,v5,20008,0,a,1,-1,DONE,DONE,167,14.6
v5_cheap_capture_margin4,v5,20007,1,a,1,-1,DONE,DONE,182,26.2
v5_cheap_capture_margin4,v5,20006,0,a,1,-1,DONE,DONE,330,34.1
v5_cheap_capture_margin4,v5,20009,1,b,-1,1,DONE,DONE,299,24.3
v5_cheap_capture_margin4,v5,20010,0,a,1,-1,DONE,DONE,269,25.3
v5_cheap_capture_margin4,v5,20002,0,b,-1,1,DONE,DONE,499,53.5
v5_cheap_capture_margin4,v5,20000,0,tie,1,1,DONE,DONE,499,58.5
v5_cheap_capture_margin4,v5,20012,0,a,1,-1,DONE,DONE,149,17.2
v5_cheap_capture_margin4,v5,20011,1,b,-1,1,DONE,DONE,143,23.5
v5_cheap_capture_margin4,v5,20014,0,a,1,-1,DONE,DONE,155,16.3
v5_cheap_capture_margin4,v5,20015,1,b,-1,1,DONE,DONE,141,18.8
v5_cheap_capture_margin4,v5,20017,1,a,1,-1,DONE,DONE,149,16.2
v5_cheap_capture_margin4,v5,20018,0,b,-1,1,DONE,DONE,164,15.6
v5_cheap_capture_margin4,v5,20013,1,b,-1,1,DONE,DONE,264,31.4
v5_cheap_capture_margin4,v5,20020,0,a,1,-1,DONE,DONE,193,22.5
v5_cheap_capture_margin4,v5,20016,0,b,-1,1,DONE,DONE,408,51.7
v5_cheap_capture_margin4,v5,20021,1,b,-1,1,DONE,DONE,274,23.6
v5_cheap_capture_margin4,v5,20024,0,b,-1,1,DONE,DONE,181,15.5
v5_cheap_capture_margin4,v5,20023,1,a,1,-1,DONE,DONE,283,40.0
v5_cheap_capture_margin4,v5,20022,0,a,1,-1,DONE,DONE,274,39.0
v5_cheap_capture_margin4,v5,20025,1,a,1,-1,DONE,DONE,156,33.0
v5_cheap_capture_margin4,v5,20019,1,tie,1,1,DONE,DONE,499,61.4
v5_cheap_capture_margin4,v5,20027,1,b,-1,1,DONE,DONE,208,26.1
v5_cheap_capture_margin4,v5,20026,0,b,-1,1,DONE,DONE,248,34.4
v5_cheap_capture_margin4,v5,20029,1,a,1,-1,DONE,DONE,154,30.6
v5_cheap_capture_margin4,v5,20028,0,a,1,-1,DONE,DONE,123,22.1
v5_cheap_capture_margin4,v5,20031,1,a,1,-1,DONE,DONE,250,28.2
v5_cheap_capture_margin4,v5,20030,0,a,1,-1,DONE,DONE,151,29.4
v5_cheap_capture_margin4,v5,20033,1,a,1,-1,DONE,DONE,236,27.3
v5_cheap_capture_margin4,v5,20032,0,b,-1,1,DONE,DONE,229,35.1
v5_cheap_capture_margin4,v5,20035,1,b,-1,1,DONE,DONE,136,24.7
v5_cheap_capture_margin4,v5,20034,0,b,-1,1,DONE,DONE,191,28.1
v5_cheap_capture_margin4,v5,20036,0,a,1,-1,DONE,DONE,190,22.0
v5_cheap_capture_margin4,v5,20039,1,b,-1,1,DONE,DONE,197,26.2
v5_cheap_capture_margin4,v5,20041,1,a,1,-1,DONE,DONE,325,34.7
v5_cheap_capture_margin4,v5,20042,0,b,-1,1,DONE,DONE,154,27.6
