agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5_defense_size_beta0.5,v5,20001,1,b,-1,1,DONE,DONE,124,6.8
v5_defense_size_beta0.5,v5,20005,1,b,-1,1,DONE,DONE,121,7.9
v5_defense_size_beta0.5,v5,20003,1,b,-1,1,DONE,DONE,95,8.8
v5_defense_size_beta0.5,v5,20002,0,b,-1,1,DONE,DONE,138,13.5
v5_defense_size_beta0.5,v5,20004,0,b,-1,1,DONE,DONE,139,13.7
v5_defense_size_beta0.5,v5,20006,0,a,1,-1,DONE,DONE,170,11.1
v5_defense_size_beta0.5,v5,20007,1,a,1,-1,DONE,DONE,244,15.4
v5_defense_size_beta0.5,v5,20011,1,b,-1,1,DONE,DONE,141,10.6
v5_defense_size_beta0.5,v5,20008,0,b,-1,1,DONE,DONE,142,17.3
v5_defense_size_beta0.5,v5,20010,0,b,-1,1,DONE,DONE,134,17.9
v5_defense_size_beta0.5,v5,20012,0,a,1,-1,DONE,DONE,145,11.2
v5_defense_size_beta0.5,v5,20009,1,b,-1,1,DONE,DONE,192,21.4
v5_defense_size_beta0.5,v5,20013,1,b,-1,1,DONE,DONE,155,12.1
v5_defense_size_beta0.5,v5,20014,0,b,-1,1,DONE,DONE,135,15.3
v5_defense_size_beta0.5,v5,20000,0,b,-1,1,DONE,DONE,482,46.9
v5_defense_size_beta0.5,v5,20016,0,b,-1,1,DONE,DONE,194,15.1
v5_defense_size_beta0.5,v5,20015,1,b,-1,1,DONE,DONE,136,17.5
v5_defense_size_beta0.5,v5,20017,1,a,1,-1,DONE,DONE,180,21.6
v5_defense_size_beta0.5,v5,20019,1,a,1,-1,DONE,DONE,176,15.5
v5_defense_size_beta0.5,v5,20021,1,b,-1,1,DONE,DONE,172,12.1
v5_defense_size_beta0.5,v5,20020,0,a,1,-1,DONE,DONE,162,18.7
v5_defense_size_beta0.5,v5,20018,0,b,-1,1,DONE,DONE,206,22.2
v5_defense_size_beta0.5,v5,20023,1,b,-1,1,DONE,DONE,143,16.2
v5_defense_size_beta0.5,v5,20025,1,b,-1,1,DONE,DONE,151,11.5
v5_defense_size_beta0.5,v5,20022,0,b,-1,1,DONE,DONE,132,16.0
v5_defense_size_beta0.5,v5,20027,1,b,-1,1,DONE,DONE,135,12.5
v5_defense_size_beta0.5,v5,20026,0,b,-1,1,DONE,DONE,138,18.0
v5_defense_size_beta0.5,v5,20024,0,b,-1,1,DONE,DONE,167,21.4
v5_defense_size_beta0.5,v5,20031,1,b,-1,1,DONE,DONE,141,11.1
v5_defense_size_beta0.5,v5,20030,0,b,-1,1,DONE,DONE,146,19.2
v5_defense_size_beta0.5,v5,20029,1,b,-1,1,DONE,DONE,145,16.2
v5_defense_size_beta0.5,v5,20034,0,b,-1,1,DONE,DONE,126,8.8
v5_defense_size_beta0.5,v5,20033,1,b,-1,1,DONE,DONE,111,16.8
v5_defense_size_beta0.5,v5,20028,0,b,-1,1,DONE,DONE,499,35.9
v5_defense_size_beta0.5,v5,20032,0,b,-1,1,DONE,DONE,184,23.2
v5_defense_size_beta0.5,v5,20036,0,b,-1,1,DONE,DONE,110,13.8
v5_defense_size_beta0.5,v5,20035,1,b,-1,1,DONE,DONE,146,17.2
v5_defense_size_beta0.5,v5,20041,1,b,-1,1,DONE,DONE,117,8.8
v5_defense_size_beta0.5,v5,20037,1,b,-1,1,DONE,DONE,131,10.9
v5_defense_size_beta0.5,v5,20038,0,a,1,-1,DONE,DONE,150,18.6
v5_defense_size_beta0.5,v5,20039,1,b,-1,1,DONE,DONE,131,17.1
v5_defense_size_beta0.5,v5,20044,0,b,-1,1,DONE,DONE,117,8.1
v5_defense_size_beta0.5,v5,20042,0,a,1,-1,DONE,DONE,161,19.3
v5_defense_size_beta0.5,v5,20043,1,b,-1,1,DONE,DONE,192,15.3
v5_defense_size_beta0.5,v5,20040,0,a,1,-1,DONE,DONE,170,16.4
v5_defense_size_beta0.5,v5,20045,1,b,-1,1,DONE,DONE,119,15.5
v5_defense_size_beta0.5,v5,20046,0,b,-1,1,DONE,DONE,136,14.5
v5_defense_size_beta0.5,v5,20047,1,b,-1,1,DONE,DONE,128,14.0
v5_defense_size_beta0.5,v5,20050,0,b,-1,1,DONE,DONE,102,12.0
v5_defense_size_beta0.5,v5,20048,0,b,-1,1,DONE,DONE,120,16.3
v5_defense_size_beta0.5,v5,20049,1,b,-1,1,DONE,DONE,191,24.0
v5_defense_size_beta0.5,v5,20052,0,a,1,-1,DONE,DONE,195,17.9
v5_defense_size_beta0.5,v5,20051,1,b,-1,1,DONE,DONE,129,17.2
v5_defense_size_beta0.5,v5,20054,0,a,1,-1,DONE,DONE,146,18.0
v5_defense_size_beta0.5,v5,20055,1,a,1,-1,DONE,DONE,205,21.7
v5_defense_size_beta0.5,v5,20056,0,a,1,-1,DONE,DONE,137,23.1
v5_defense_size_beta0.5,v5,20058,0,b,-1,1,DONE,DONE,258,22.9
v5_defense_size_beta0.5,v5,20053,1,b,-1,1,DONE,DONE,287,44.5
v5_defense_size_beta0.5,v5,20061,1,a,1,-1,DONE,DONE,158,17.6
v5_defense_size_beta0.5,v5,20059,1,b,-1,1,DONE,DONE,165,27.5
v5_defense_size_beta0.5,v5,20060,0,b,-1,1,DONE,DONE,157,22.1
v5_defense_size_beta0.5,v5,20057,1,b,-1,1,DONE,DONE,159,28.4
v5_defense_size_beta0.5,v5,20065,1,b,-1,1,DONE,DONE,130,12.7
v5_defense_size_beta0.5,v5,20063,1,b,-1,1,DONE,DONE,161,16.7
v5_defense_size_beta0.5,v5,20062,0,a,1,-1,DONE,DONE,184,25.1
v5_defense_size_beta0.5,v5,20064,0,b,-1,1,DONE,DONE,162,27.4
v5_defense_size_beta0.5,v5,20069,1,b,-1,1,DONE,DONE,158,14.6
v5_defense_size_beta0.5,v5,20066,0,b,-1,1,DONE,DONE,197,18.0
v5_defense_size_beta0.5,v5,20068,0,a,1,-1,DONE,DONE,120,18.5
v5_defense_size_beta0.5,v5,20067,1,a,1,-1,DONE,DONE,206,32.8
v5_defense_size_beta0.5,v5,20071,1,a,1,-1,DONE,DONE,110,7.3
v5_defense_size_beta0.5,v5,20072,0,a,1,-1,DONE,DONE,185,13.3
v5_defense_size_beta0.5,v5,20070,0,b,-1,1,DONE,DONE,163,18.6
v5_defense_size_beta0.5,v5,20073,1,b,-1,1,DONE,DONE,142,16.8
v5_defense_size_beta0.5,v5,20076,0,b,-1,1,DONE,DONE,104,12.0
v5_defense_size_beta0.5,v5,20078,0,b,-1,1,DONE,DONE,134,10.9
v5_defense_size_beta0.5,v5,20077,1,a,1,-1,DONE,DONE,178,13.4
v5_defense_size_beta0.5,v5,20074,0,a,1,-1,DONE,DONE,196,25.8
v5_defense_size_beta0.5,v5,20081,1,b,-1,1,DONE,DONE,135,9.5
v5_defense_size_beta0.5,v5,20082,0,b,-1,1,DONE,DONE,153,11.0
v5_defense_size_beta0.5,v5,20079,1,b,-1,1,DONE,DONE,94,14.0
v5_defense_size_beta0.5,v5,20080,0,a,1,-1,DONE,DONE,170,20.9
v5_defense_size_beta0.5,v5,20084,0,b,-1,1,DONE,DONE,161,17.1
v5_defense_size_beta0.5,v5,20085,1,b,-1,1,DONE,DONE,129,15.9
v5_defense_size_beta0.5,v5,20075,1,a,1,-1,DONE,DONE,499,51.0
v5_defense_size_beta0.5,v5,20083,1,b,-1,1,DONE,DONE,231,18.6
v5_defense_size_beta0.5,v5,20086,0,b,-1,1,DONE,DONE,123,11.0
v5_defense_size_beta0.5,v5,20088,0,b,-1,1,DONE,DONE,97,13.3
v5_defense_size_beta0.5,v5,20087,1,a,1,-1,DONE,DONE,161,23.0
v5_defense_size_beta0.5,v5,20091,1,b,-1,1,DONE,DONE,141,14.7
v5_defense_size_beta0.5,v5,20089,1,a,1,-1,DONE,DONE,145,17.6
v5_defense_size_beta0.5,v5,20092,0,b,-1,1,DONE,DONE,194,19.7
v5_defense_size_beta0.5,v5,20090,0,b,-1,1,DONE,DONE,141,19.9
v5_defense_size_beta0.5,v5,20097,1,b,-1,1,DONE,DONE,140,13.8
