agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5_opp_inject_waves6,v5,20000,0,a,1,-1,DONE,DONE,133,15.0
v5_opp_inject_waves6,v5,20006,0,b,-1,1,DONE,DONE,141,17.3
v5_opp_inject_waves6,v5,20001,1,a,1,-1,DONE,DONE,183,35.6
v5_opp_inject_waves6,v5,20002,0,b,-1,1,DONE,DONE,179,36.3
v5_opp_inject_waves6,v5,20003,1,b,-1,1,DONE,DONE,431,45.6
v5_opp_inject_waves6,v5,20005,1,b,-1,1,DONE,DONE,183,41.1
v5_opp_inject_waves6,v5,20004,0,a,1,-1,DONE,DONE,203,41.9
v5_opp_inject_waves6,v5,20007,1,b,-1,1,DONE,DONE,195,27.5
v5_opp_inject_waves6,v5,20010,0,a,1,-1,DONE,DONE,124,16.3
v5_opp_inject_waves6,v5,20012,0,b,-1,1,DONE,DONE,126,26.6
v5_opp_inject_waves6,v5,20011,1,a,1,-1,DONE,DONE,135,29.8
v5_opp_inject_waves6,v5,20009,1,a,1,-1,DONE,DONE,186,42.8
v5_opp_inject_waves6,v5,20008,0,a,1,-1,DONE,DONE,210,45.1
v5_opp_inject_waves6,v5,20014,0,a,1,-1,DONE,DONE,173,22.8
v5_opp_inject_waves6,v5,20013,1,a,1,-1,DONE,DONE,235,30.1
v5_opp_inject_waves6,v5,20018,0,a,1,-1,DONE,DONE,109,19.6
v5_opp_inject_waves6,v5,20016,0,b,-1,1,DONE,DONE,141,23.4
v5_opp_inject_waves6,v5,20015,1,b,-1,1,DONE,DONE,175,27.6
v5_opp_inject_waves6,v5,20019,1,b,-1,1,DONE,DONE,313,31.1
v5_opp_inject_waves6,v5,20022,0,b,-1,1,DONE,DONE,206,21.0
v5_opp_inject_waves6,v5,20020,0,a,1,-1,DONE,DONE,165,23.5
v5_opp_inject_waves6,v5,20021,1,a,1,-1,DONE,DONE,231,29.8
v5_opp_inject_waves6,v5,20023,1,a,1,-1,DONE,DONE,197,35.8
v5_opp_inject_waves6,v5,20025,1,b,-1,1,DONE,DONE,156,23.1
v5_opp_inject_waves6,v5,20026,0,a,1,-1,DONE,DONE,165,22.5
v5_opp_inject_waves6,v5,20028,0,b,-1,1,DONE,DONE,102,15.4
v5_opp_inject_waves6,v5,20029,1,a,1,-1,DONE,DONE,186,25.4
v5_opp_inject_waves6,v5,20027,1,b,-1,1,DONE,DONE,132,30.7
v5_opp_inject_waves6,v5,20017,1,b,-1,1,DONE,DONE,499,101.2
v5_opp_inject_waves6,v5,20024,0,b,-1,1,DONE,DONE,283,56.8
v5_opp_inject_waves6,v5,20031,1,b,-1,1,DONE,DONE,182,28.3
v5_opp_inject_waves6,v5,20032,0,a,1,-1,DONE,DONE,172,34.2
v5_opp_inject_waves6,v5,20034,0,b,-1,1,DONE,DONE,176,42.1
v5_opp_inject_waves6,v5,20033,1,a,1,-1,DONE,DONE,215,44.8
v5_opp_inject_waves6,v5,20036,0,a,1,-1,DONE,DONE,211,29.4
v5_opp_inject_waves6,v5,20030,0,a,1,-1,DONE,DONE,499,82.1
v5_opp_inject_waves6,v5,20038,0,a,1,-1,DONE,DONE,144,25.7
v5_opp_inject_waves6,v5,20035,1,b,-1,1,DONE,DONE,300,66.1
v5_opp_inject_waves6,v5,20037,1,a,1,-1,DONE,DONE,147,33.1
v5_opp_inject_waves6,v5,20039,1,a,1,-1,DONE,DONE,159,32.1
v5_opp_inject_waves6,v5,20041,1,b,-1,1,DONE,DONE,145,21.2
v5_opp_inject_waves6,v5,20040,0,b,-1,1,DONE,DONE,161,29.4
v5_opp_inject_waves6,v5,20042,0,a,1,-1,DONE,DONE,135,27.7
v5_opp_inject_waves6,v5,20044,0,b,-1,1,DONE,DONE,159,21.6
v5_opp_inject_waves6,v5,20043,1,a,1,-1,DONE,DONE,177,37.1
v5_opp_inject_waves6,v5,20045,1,a,1,-1,DONE,DONE,135,28.3
v5_opp_inject_waves6,v5,20047,1,a,1,-1,DONE,DONE,130,25.2
v5_opp_inject_waves6,v5,20048,0,a,1,-1,DONE,DONE,123,23.6
v5_opp_inject_waves6,v5,20046,0,a,1,-1,DONE,DONE,194,27.3
v5_opp_inject_waves6,v5,20050,0,b,-1,1,DONE,DONE,121,26.4
v5_opp_inject_waves6,v5,20049,1,a,1,-1,DONE,DONE,124,28.5
v5_opp_inject_waves6,v5,20052,0,b,-1,1,DONE,DONE,141,26.7
v5_opp_inject_waves6,v5,20054,0,b,-1,1,DONE,DONE,135,27.1
v5_opp_inject_waves6,v5,20051,1,a,1,-1,DONE,DONE,164,31.6
v5_opp_inject_waves6,v5,20053,1,b,-1,1,DONE,DONE,157,34.3
v5_opp_inject_waves6,v5,20056,0,b,-1,1,DONE,DONE,164,33.8
v5_opp_inject_waves6,v5,20057,1,a,1,-1,DONE,DONE,160,34.3
v5_opp_inject_waves6,v5,20058,0,b,-1,1,DONE,DONE,143,31.7
v5_opp_inject_waves6,v5,20059,1,b,-1,1,DONE,DONE,156,29.2
v5_opp_inject_waves6,v5,20055,1,b,-1,1,DONE,DONE,185,38.2
v5_opp_inject_waves6,v5,20065,1,a,1,-1,DONE,DONE,117,17.5
v5_opp_inject_waves6,v5,20060,0,b,-1,1,DONE,DONE,171,37.2
v5_opp_inject_waves6,v5,20061,1,b,-1,1,DONE,DONE,171,38.9
v5_opp_inject_waves6,v5,20064,0,a,1,-1,DONE,DONE,184,43.1
v5_opp_inject_waves6,v5,20063,1,a,1,-1,DONE,DONE,252,49.3
v5_opp_inject_waves6,v5,20062,0,b,-1,1,DONE,DONE,260,45.0
v5_opp_inject_waves6,v5,20068,0,a,1,-1,DONE,DONE,161,29.7
v5_opp_inject_waves6,v5,20066,0,a,1,-1,DONE,DONE,261,43.8
v5_opp_inject_waves6,v5,20071,1,a,1,-1,DONE,DONE,118,17.4
v5_opp_inject_waves6,v5,20067,1,a,1,-1,DONE,DONE,261,53.4
v5_opp_inject_waves6,v5,20074,0,b,-1,1,DONE,DONE,133,15.5
v5_opp_inject_waves6,v5,20070,0,a,1,-1,DONE,DONE,137,26.9
v5_opp_inject_waves6,v5,20072,0,b,-1,1,DONE,DONE,134,18.5
v5_opp_inject_waves6,v5,20075,1,b,-1,1,DONE,DONE,146,22.7
v5_opp_inject_waves6,v5,20076,0,a,1,-1,DONE,DONE,145,13.9
v5_opp_inject_waves6,v5,20069,1,a,1,-1,DONE,DONE,291,60.4
v5_opp_inject_waves6,v5,20078,0,a,1,-1,DONE,DONE,144,12.0
v5_opp_inject_waves6,v5,20073,1,b,-1,1,DONE,DONE,245,42.8
v5_opp_inject_waves6,v5,20081,1,a,1,-1,DONE,DONE,155,15.3
v5_opp_inject_waves6,v5,20080,0,b,-1,1,DONE,DONE,175,16.1
v5_opp_inject_waves6,v5,20079,1,a,1,-1,DONE,DONE,165,26.3
v5_opp_inject_waves6,v5,20077,1,a,1,-1,DONE,DONE,238,36.9
v5_opp_inject_waves6,v5,20083,1,a,1,-1,DONE,DONE,113,17.8
v5_opp_inject_waves6,v5,20086,0,a,1,-1,DONE,DONE,181,16.8
v5_opp_inject_waves6,v5,20085,1,b,-1,1,DONE,DONE,152,24.6
v5_opp_inject_waves6,v5,20088,0,a,1,-1,DONE,DONE,140,26.2
v5_opp_inject_waves6,v5,20089,1,a,1,-1,DONE,DONE,146,16.6
