agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20005,1,a,1,-1,DONE,DONE,134,9.4
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20000,0,a,1,-1,DONE,DONE,189,13.0
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20001,1,b,-1,1,DONE,DONE,499,24.1
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20002,0,b,-1,1,DONE,DONE,499,25.6
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20008,0,a,1,-1,DONE,DONE,129,7.8
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20009,1,a,1,-1,DONE,DONE,186,12.1
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20003,1,b,-1,1,DONE,DONE,499,39.8
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20010,0,b,-1,1,DONE,DONE,145,13.2
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20004,0,b,-1,1,DONE,DONE,499,47.0
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20006,0,b,-1,1,DONE,DONE,499,49.5
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20013,1,a,1,-1,DONE,DONE,169,16.6
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20007,1,b,-1,1,DONE,DONE,499,50.9
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20011,1,b,-1,1,DONE,DONE,499,30.5
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20012,0,b,-1,1,DONE,DONE,499,30.6
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20015,1,a,1,-1,DONE,DONE,499,29.9
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20016,0,a,1,-1,DONE,DONE,332,32.6
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20014,0,b,-1,1,DONE,DONE,499,50.2
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20019,1,b,-1,1,DONE,DONE,499,28.8
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20018,0,b,-1,1,DONE,DONE,499,47.6
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20023,1,a,1,-1,DONE,DONE,308,17.4
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20020,0,b,-1,1,DONE,DONE,499,33.5
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20021,1,a,1,-1,DONE,DONE,334,29.0
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20017,1,b,-1,1,DONE,DONE,499,49.7
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20022,0,b,-1,1,DONE,DONE,499,35.7
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20029,1,a,1,-1,DONE,DONE,162,8.7
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20025,1,a,1,-1,DONE,DONE,159,16.6
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20026,0,b,-1,1,DONE,DONE,499,42.8
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20024,0,a,1,-1,DONE,DONE,285,27.3
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20027,1,a,1,-1,DONE,DONE,499,36.6
exit_v2_exit_producer256_v2_a100_000025,exit_v2_exit_producer256_a100_000025,20028,0,b,-1,1,DONE,DONE,499,33.4
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20000,0,b,-1,1,DONE,DONE,118,9.3
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20002,0,b,-1,1,DONE,DONE,140,20.4
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20004,0,b,-1,1,DONE,DONE,499,43.2
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20006,0,a,1,-1,DONE,DONE,499,43.1
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20001,1,b,-1,1,DONE,DONE,499,70.4
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20007,1,a,1,-1,DONE,DONE,330,49.0
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20005,1,b,-1,1,DONE,DONE,499,74.2
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20003,1,a,1,-1,DONE,DONE,499,75.3
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20008,0,b,-1,1,DONE,DONE,499,43.0
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20009,1,a,1,-1,DONE,DONE,499,45.9
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20010,0,b,-1,1,DONE,DONE,499,70.3
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20015,1,b,-1,1,DONE,DONE,499,47.8
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20014,0,b,-1,1,DONE,DONE,499,59.2
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20011,1,b,-1,1,DONE,DONE,499,76.4
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20013,1,b,-1,1,DONE,DONE,499,71.2
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20012,0,b,-1,1,DONE,DONE,499,75.7
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20020,0,a,1,-1,DONE,DONE,237,32.7
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20021,1,a,1,-1,DONE,DONE,225,32.7
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20016,0,b,-1,1,DONE,DONE,499,53.4
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20019,1,b,-1,1,DONE,DONE,499,48.2
exit_v2_exit_producer256_v2_a100_000050,exit_v2_exit_producer256_a100_000025,20018,0,a,1,-1,DONE,DONE,499,49.7
