agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5_reinforce_size_beta4.0,v5,20005,1,a,1,-1,DONE,DONE,113,11.4
v5_reinforce_size_beta4.0,v5,20000,0,b,-1,1,DONE,DONE,183,18.7
v5_reinforce_size_beta4.0,v5,20002,0,b,-1,1,DONE,DONE,130,23.2
v5_reinforce_size_beta4.0,v5,20001,1,b,-1,1,DONE,DONE,189,28.0
v5_reinforce_size_beta4.0,v5,20003,1,b,-1,1,DONE,DONE,179,31.0
v5_reinforce_size_beta4.0,v5,20006,0,b,-1,1,DONE,DONE,197,20.0
v5_reinforce_size_beta4.0,v5,20008,0,a,1,-1,DONE,DONE,152,14.3
v5_reinforce_size_beta4.0,v5,20004,0,b,-1,1,DONE,DONE,237,37.2
v5_reinforce_size_beta4.0,v5,20007,1,b,-1,1,DONE,DONE,163,25.3
v5_reinforce_size_beta4.0,v5,20012,0,b,-1,1,DONE,DONE,136,9.6
v5_reinforce_size_beta4.0,v5,20013,1,b,-1,1,DONE,DONE,159,11.2
v5_reinforce_size_beta4.0,v5,20010,0,b,-1,1,DONE,DONE,163,20.4
v5_reinforce_size_beta4.0,v5,20011,1,a,1,-1,DONE,DONE,166,20.2
v5_reinforce_size_beta4.0,v5,20015,1,b,-1,1,DONE,DONE,178,12.4
v5_reinforce_size_beta4.0,v5,20014,0,a,1,-1,DONE,DONE,142,18.2
v5_reinforce_size_beta4.0,v5,20016,0,a,1,-1,DONE,DONE,168,13.0
v5_reinforce_size_beta4.0,v5,20017,1,a,1,-1,DONE,DONE,163,19.0
v5_reinforce_size_beta4.0,v5,20021,1,b,-1,1,DONE,DONE,129,8.9
v5_reinforce_size_beta4.0,v5,20018,0,a,1,-1,DONE,DONE,197,24.8
v5_reinforce_size_beta4.0,v5,20019,1,b,-1,1,DONE,DONE,150,16.3
v5_reinforce_size_beta4.0,v5,20020,0,b,-1,1,DONE,DONE,175,26.0
v5_reinforce_size_beta4.0,v5,20009,1,b,-1,1,DONE,DONE,499,63.4
v5_reinforce_size_beta4.0,v5,20022,0,a,1,-1,DONE,DONE,170,21.1
v5_reinforce_size_beta4.0,v5,20025,1,b,-1,1,DONE,DONE,193,23.9
v5_reinforce_size_beta4.0,v5,20024,0,b,-1,1,DONE,DONE,139,18.9
v5_reinforce_size_beta4.0,v5,20026,0,a,1,-1,DONE,DONE,168,25.7
v5_reinforce_size_beta4.0,v5,20023,1,a,1,-1,DONE,DONE,144,28.8
v5_reinforce_size_beta4.0,v5,20030,0,b,-1,1,DONE,DONE,123,13.5
v5_reinforce_size_beta4.0,v5,20029,1,b,-1,1,DONE,DONE,152,17.4
v5_reinforce_size_beta4.0,v5,20028,0,a,1,-1,DONE,DONE,136,24.4
v5_reinforce_size_beta4.0,v5,20027,1,a,1,-1,DONE,DONE,177,30.1
v5_reinforce_size_beta4.0,v5,20031,1,b,-1,1,DONE,DONE,186,21.7
v5_reinforce_size_beta4.0,v5,20034,0,b,-1,1,DONE,DONE,153,15.5
v5_reinforce_size_beta4.0,v5,20032,0,b,-1,1,DONE,DONE,156,27.8
v5_reinforce_size_beta4.0,v5,20033,1,a,1,-1,DONE,DONE,162,31.5
v5_reinforce_size_beta4.0,v5,20036,0,b,-1,1,DONE,DONE,125,23.5
v5_reinforce_size_beta4.0,v5,20035,1,a,1,-1,DONE,DONE,167,30.7
v5_reinforce_size_beta4.0,v5,20039,1,b,-1,1,DONE,DONE,169,21.1
v5_reinforce_size_beta4.0,v5,20038,0,b,-1,1,DONE,DONE,142,17.2
v5_reinforce_size_beta4.0,v5,20041,1,b,-1,1,DONE,DONE,97,18.2
v5_reinforce_size_beta4.0,v5,20037,1,b,-1,1,DONE,DONE,143,26.3
v5_reinforce_size_beta4.0,v5,20044,0,a,1,-1,DONE,DONE,132,14.9
v5_reinforce_size_beta4.0,v5,20042,0,a,1,-1,DONE,DONE,143,24.8
v5_reinforce_size_beta4.0,v5,20043,1,a,1,-1,DONE,DONE,212,22.8
v5_reinforce_size_beta4.0,v5,20040,0,b,-1,1,DONE,DONE,189,35.7
v5_reinforce_size_beta4.0,v5,20045,1,a,1,-1,DONE,DONE,142,21.9
v5_reinforce_size_beta4.0,v5,20046,0,b,-1,1,DONE,DONE,211,29.9
v5_reinforce_size_beta4.0,v5,20048,0,a,1,-1,DONE,DONE,124,21.3
v5_reinforce_size_beta4.0,v5,20047,1,b,-1,1,DONE,DONE,214,35.6
v5_reinforce_size_beta4.0,v5,20049,1,a,1,-1,DONE,DONE,140,22.3
v5_reinforce_size_beta4.0,v5,20052,0,a,1,-1,DONE,DONE,134,22.4
v5_reinforce_size_beta4.0,v5,20053,1,a,1,-1,DONE,DONE,131,13.2
v5_reinforce_size_beta4.0,v5,20054,0,b,-1,1,DONE,DONE,163,15.8
v5_reinforce_size_beta4.0,v5,20050,0,a,1,-1,DONE,DONE,163,31.2
v5_reinforce_size_beta4.0,v5,20055,1,b,-1,1,DONE,DONE,141,25.7
v5_reinforce_size_beta4.0,v5,20051,1,b,-1,1,DONE,DONE,208,37.9
v5_reinforce_size_beta4.0,v5,20056,0,a,1,-1,DONE,DONE,170,27.2
v5_reinforce_size_beta4.0,v5,20058,0,b,-1,1,DONE,DONE,131,21.9
v5_reinforce_size_beta4.0,v5,20057,1,b,-1,1,DONE,DONE,182,30.4
v5_reinforce_size_beta4.0,v5,20060,0,b,-1,1,DONE,DONE,147,24.8
v5_reinforce_size_beta4.0,v5,20062,0,b,-1,1,DONE,DONE,152,22.6
v5_reinforce_size_beta4.0,v5,20059,1,a,1,-1,DONE,DONE,167,30.5
v5_reinforce_size_beta4.0,v5,20061,1,b,-1,1,DONE,DONE,196,36.4
v5_reinforce_size_beta4.0,v5,20064,0,b,-1,1,DONE,DONE,173,34.3
v5_reinforce_size_beta4.0,v5,20065,1,a,1,-1,DONE,DONE,152,24.0
v5_reinforce_size_beta4.0,v5,20067,1,b,-1,1,DONE,DONE,179,24.0
v5_reinforce_size_beta4.0,v5,20063,1,a,1,-1,DONE,DONE,192,32.0
v5_reinforce_size_beta4.0,v5,20066,0,b,-1,1,DONE,DONE,185,31.6
v5_reinforce_size_beta4.0,v5,20071,1,b,-1,1,DONE,DONE,104,15.2
v5_reinforce_size_beta4.0,v5,20068,0,b,-1,1,DONE,DONE,203,35.3
v5_reinforce_size_beta4.0,v5,20072,0,a,1,-1,DONE,DONE,186,31.6
v5_reinforce_size_beta4.0,v5,20070,0,b,-1,1,DONE,DONE,153,28.8
v5_reinforce_size_beta4.0,v5,20074,0,b,-1,1,DONE,DONE,190,24.4
v5_reinforce_size_beta4.0,v5,20075,1,a,1,-1,DONE,DONE,164,28.3
v5_reinforce_size_beta4.0,v5,20073,1,a,1,-1,DONE,DONE,140,25.1
v5_reinforce_size_beta4.0,v5,20076,0,b,-1,1,DONE,DONE,174,16.4
v5_reinforce_size_beta4.0,v5,20080,0,b,-1,1,DONE,DONE,112,13.6
v5_reinforce_size_beta4.0,v5,20069,1,b,-1,1,DONE,DONE,499,69.0
v5_reinforce_size_beta4.0,v5,20077,1,a,1,-1,DONE,DONE,148,26.1
v5_reinforce_size_beta4.0,v5,20078,0,b,-1,1,DONE,DONE,179,25.5
v5_reinforce_size_beta4.0,v5,20079,1,b,-1,1,DONE,DONE,239,32.8
v5_reinforce_size_beta4.0,v5,20082,0,a,1,-1,DONE,DONE,215,21.1
v5_reinforce_size_beta4.0,v5,20081,1,a,1,-1,DONE,DONE,144,27.2
v5_reinforce_size_beta4.0,v5,20086,0,b,-1,1,DONE,DONE,151,13.8
v5_reinforce_size_beta4.0,v5,20085,1,a,1,-1,DONE,DONE,136,24.2
v5_reinforce_size_beta4.0,v5,20083,1,b,-1,1,DONE,DONE,162,28.7
v5_reinforce_size_beta4.0,v5,20084,0,a,1,-1,DONE,DONE,159,26.1
v5_reinforce_size_beta4.0,v5,20089,1,a,1,-1,DONE,DONE,124,11.8
v5_reinforce_size_beta4.0,v5,20088,0,b,-1,1,DONE,DONE,131,19.4
v5_reinforce_size_beta4.0,v5,20087,1,b,-1,1,DONE,DONE,282,31.0
