agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5_reserve_frac0.2,v5,20003,1,a,1,-1,DONE,DONE,108,7.1
v5_reserve_frac0.2,v5,20000,0,a,1,-1,DONE,DONE,165,14.3
v5_reserve_frac0.2,v5,20002,0,b,-1,1,DONE,DONE,132,14.9
v5_reserve_frac0.2,v5,20006,0,b,-1,1,DONE,DONE,149,11.2
v5_reserve_frac0.2,v5,20004,0,b,-1,1,DONE,DONE,155,18.0
v5_reserve_frac0.2,v5,20005,1,a,1,-1,DONE,DONE,185,19.7
v5_reserve_frac0.2,v5,20007,1,b,-1,1,DONE,DONE,123,16.4
v5_reserve_frac0.2,v5,20001,1,a,1,-1,DONE,DONE,495,36.0
v5_reserve_frac0.2,v5,20008,0,a,1,-1,DONE,DONE,147,22.0
v5_reserve_frac0.2,v5,20011,1,b,-1,1,DONE,DONE,200,20.0
v5_reserve_frac0.2,v5,20010,0,b,-1,1,DONE,DONE,155,21.4
v5_reserve_frac0.2,v5,20012,0,a,1,-1,DONE,DONE,144,14.9
v5_reserve_frac0.2,v5,20009,1,b,-1,1,DONE,DONE,192,30.2
v5_reserve_frac0.2,v5,20014,0,b,-1,1,DONE,DONE,162,14.0
v5_reserve_frac0.2,v5,20013,1,b,-1,1,DONE,DONE,120,16.7
v5_reserve_frac0.2,v5,20017,1,b,-1,1,DONE,DONE,173,20.2
v5_reserve_frac0.2,v5,20016,0,a,1,-1,DONE,DONE,173,23.7
v5_reserve_frac0.2,v5,20019,1,a,1,-1,DONE,DONE,169,13.3
v5_reserve_frac0.2,v5,20018,0,b,-1,1,DONE,DONE,121,16.5
v5_reserve_frac0.2,v5,20020,0,b,-1,1,DONE,DONE,204,15.9
v5_reserve_frac0.2,v5,20015,1,b,-1,1,DONE,DONE,253,34.0
v5_reserve_frac0.2,v5,20026,0,b,-1,1,DONE,DONE,124,9.7
v5_reserve_frac0.2,v5,20024,0,b,-1,1,DONE,DONE,181,19.2
v5_reserve_frac0.2,v5,20022,0,b,-1,1,DONE,DONE,126,13.5
v5_reserve_frac0.2,v5,20021,1,b,-1,1,DONE,DONE,199,24.0
v5_reserve_frac0.2,v5,20023,1,b,-1,1,DONE,DONE,143,16.3
v5_reserve_frac0.2,v5,20028,0,b,-1,1,DONE,DONE,124,10.6
v5_reserve_frac0.2,v5,20025,1,a,1,-1,DONE,DONE,281,23.5
v5_reserve_frac0.2,v5,20031,1,b,-1,1,DONE,DONE,123,14.8
