agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20003,1,b,-1,1,DONE,DONE,119,9.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20000,0,a,1,-1,DONE,DONE,149,20.3
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20002,0,b,-1,1,DONE,DONE,259,22.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20005,1,b,-1,1,DONE,DONE,173,27.3
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20001,1,a,1,-1,DONE,DONE,211,32.9
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20007,1,b,-1,1,DONE,DONE,119,14.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20008,0,b,-1,1,DONE,DONE,173,20.3
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20006,0,a,1,-1,DONE,DONE,274,40.3
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20012,0,b,-1,1,DONE,DONE,140,15.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20011,1,b,-1,1,DONE,DONE,181,24.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20010,0,b,-1,1,DONE,DONE,146,26.3
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20013,1,b,-1,1,DONE,DONE,112,13.3
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20014,0,a,1,-1,DONE,DONE,90,10.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20004,0,a,1,-1,DONE,DONE,420,73.8
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20009,1,a,1,-1,DONE,DONE,236,46.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20015,1,a,1,-1,DONE,DONE,143,25.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20016,0,a,1,-1,DONE,DONE,144,25.3
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20020,0,b,-1,1,DONE,DONE,130,18.8
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20017,1,a,1,-1,DONE,DONE,236,31.3
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20019,1,a,1,-1,DONE,DONE,177,26.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20018,0,b,-1,1,DONE,DONE,129,24.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20021,1,b,-1,1,DONE,DONE,147,19.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20022,0,a,1,-1,DONE,DONE,130,17.8
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20026,0,a,1,-1,DONE,DONE,142,18.6
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20023,1,b,-1,1,DONE,DONE,237,39.8
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20025,1,a,1,-1,DONE,DONE,161,34.2
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20029,1,b,-1,1,DONE,DONE,108,17.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20024,0,a,1,-1,DONE,DONE,131,32.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20028,0,b,-1,1,DONE,DONE,153,44.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20027,1,a,1,-1,DONE,DONE,204,47.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20031,1,b,-1,1,DONE,DONE,142,21.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20032,0,b,-1,1,DONE,DONE,167,31.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20030,0,a,1,-1,DONE,DONE,178,49.8
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20034,0,b,-1,1,DONE,DONE,165,35.9
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20035,1,b,-1,1,DONE,DONE,175,31.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20036,0,a,1,-1,DONE,DONE,163,33.8
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20033,1,a,1,-1,DONE,DONE,264,64.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20037,1,a,1,-1,DONE,DONE,106,26.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20039,1,b,-1,1,DONE,DONE,123,27.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20040,0,a,1,-1,DONE,DONE,163,24.6
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20041,1,a,1,-1,DONE,DONE,135,34.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20043,1,a,1,-1,DONE,DONE,115,25.8
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20038,0,b,-1,1,DONE,DONE,225,41.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20042,0,b,-1,1,DONE,DONE,176,42.6
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20047,1,a,1,-1,DONE,DONE,112,13.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20044,0,b,-1,1,DONE,DONE,188,26.9
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20045,1,a,1,-1,DONE,DONE,149,22.6
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20049,1,b,-1,1,DONE,DONE,124,15.1
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20046,0,b,-1,1,DONE,DONE,191,30.9
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20048,0,b,-1,1,DONE,DONE,138,23.7
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20050,0,b,-1,1,DONE,DONE,159,28.9
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20052,0,a,1,-1,DONE,DONE,163,26.1
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20053,1,a,1,-1,DONE,DONE,125,26.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20051,1,b,-1,1,DONE,DONE,185,36.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20054,0,a,1,-1,DONE,DONE,156,34.2
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20055,1,b,-1,1,DONE,DONE,146,35.6
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20057,1,b,-1,1,DONE,DONE,211,37.8
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20058,0,b,-1,1,DONE,DONE,143,24.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20056,0,a,1,-1,DONE,DONE,140,35.7
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20060,0,a,1,-1,DONE,DONE,126,32.9
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20063,1,b,-1,1,DONE,DONE,115,24.3
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20059,1,a,1,-1,DONE,DONE,214,49.3
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20061,1,a,1,-1,DONE,DONE,166,38.8
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20062,0,b,-1,1,DONE,DONE,131,33.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20066,0,b,-1,1,DONE,DONE,114,21.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20064,0,a,1,-1,DONE,DONE,168,38.6
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20065,1,b,-1,1,DONE,DONE,153,33.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20070,0,b,-1,1,DONE,DONE,113,19.1
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20068,0,b,-1,1,DONE,DONE,201,46.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20067,1,b,-1,1,DONE,DONE,289,58.9
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20073,1,b,-1,1,DONE,DONE,117,23.7
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20071,1,a,1,-1,DONE,DONE,125,31.8
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20069,1,a,1,-1,DONE,DONE,195,47.7
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20072,0,a,1,-1,DONE,DONE,217,47.1
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20074,0,b,-1,1,DONE,DONE,135,32.1
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20077,1,b,-1,1,DONE,DONE,102,20.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20079,1,a,1,-1,DONE,DONE,122,19.9
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20078,0,b,-1,1,DONE,DONE,127,33.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20075,1,a,1,-1,DONE,DONE,241,56.9
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20080,0,a,1,-1,DONE,DONE,106,26.7
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20076,0,b,-1,1,DONE,DONE,186,51.6
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20083,1,b,-1,1,DONE,DONE,170,41.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20084,0,b,-1,1,DONE,DONE,181,30.8
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20085,1,a,1,-1,DONE,DONE,115,30.2
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20086,0,b,-1,1,DONE,DONE,128,33.7
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20081,1,b,-1,1,DONE,DONE,499,85.2
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20087,1,a,1,-1,DONE,DONE,196,41.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20090,0,a,1,-1,DONE,DONE,137,26.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20089,1,b,-1,1,DONE,DONE,132,33.6
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20091,1,a,1,-1,DONE,DONE,229,36.1
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20088,0,a,1,-1,DONE,DONE,216,57.1
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20082,0,a,1,-1,DONE,DONE,499,119.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20092,0,a,1,-1,DONE,DONE,145,34.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20094,0,b,-1,1,DONE,DONE,137,35.6
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20095,1,b,-1,1,DONE,DONE,146,36.9
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20093,1,a,1,-1,DONE,DONE,225,61.8
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20096,0,b,-1,1,DONE,DONE,221,40.9
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20097,1,a,1,-1,DONE,DONE,184,42.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20100,0,a,1,-1,DONE,DONE,205,31.4
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20099,1,a,1,-1,DONE,DONE,168,44.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20103,1,a,1,-1,DONE,DONE,107,16.7
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20102,0,b,-1,1,DONE,DONE,115,31.0
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20106,0,a,1,-1,DONE,DONE,122,19.9
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20098,0,b,-1,1,DONE,DONE,413,91.5
richbc_rich_dagger_v5_ckpt_iter1,richbc_rich_dagger_v5_ckpt_iter2,20107,1,a,1,-1,DONE,DONE,158,37.7
