agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
richbc_rich_bc_v5_fixed_ckpt40,v5,20003,1,b,-1,1,DONE,DONE,122,9.1
richbc_rich_bc_v5_fixed_ckpt40,v5,20001,1,b,-1,1,DONE,DONE,127,14.9
richbc_rich_bc_v5_fixed_ckpt40,v5,20005,1,b,-1,1,DONE,DONE,139,12.6
richbc_rich_bc_v5_fixed_ckpt40,v5,20000,0,b,-1,1,DONE,DONE,154,18.8
richbc_rich_bc_v5_fixed_ckpt40,v5,20002,0,b,-1,1,DONE,DONE,126,17.5
richbc_rich_bc_v5_fixed_ckpt40,v5,20006,0,b,-1,1,DONE,DONE,115,10.8
richbc_rich_bc_v5_fixed_ckpt40,v5,20004,0,a,1,-1,DONE,DONE,179,22.9
richbc_rich_bc_v5_fixed_ckpt40,v5,20008,0,a,1,-1,DONE,DONE,121,12.7
richbc_rich_bc_v5_fixed_ckpt40,v5,20010,0,b,-1,1,DONE,DONE,82,13.3
richbc_rich_bc_v5_fixed_ckpt40,v5,20013,1,b,-1,1,DONE,DONE,137,12.4
richbc_rich_bc_v5_fixed_ckpt40,v5,20011,1,a,1,-1,DONE,DONE,185,21.0
richbc_rich_bc_v5_fixed_ckpt40,v5,20012,0,b,-1,1,DONE,DONE,132,20.1
richbc_rich_bc_v5_fixed_ckpt40,v5,20007,1,a,1,-1,DONE,DONE,185,31.4
richbc_rich_bc_v5_fixed_ckpt40,v5,20009,1,a,1,-1,DONE,DONE,157,27.0
richbc_rich_bc_v5_fixed_ckpt40,v5,20014,0,b,-1,1,DONE,DONE,125,16.8
richbc_rich_bc_v5_fixed_ckpt40,v5,20015,1,b,-1,1,DONE,DONE,129,12.0
richbc_rich_bc_v5_fixed_ckpt40,v5,20020,0,b,-1,1,DONE,DONE,155,18.2
richbc_rich_bc_v5_fixed_ckpt40,v5,20016,0,b,-1,1,DONE,DONE,142,27.1
richbc_rich_bc_v5_fixed_ckpt40,v5,20019,1,b,-1,1,DONE,DONE,133,25.8
richbc_rich_bc_v5_fixed_ckpt40,v5,20017,1,b,-1,1,DONE,DONE,167,33.5
richbc_rich_bc_v5_fixed_ckpt40,v5,20018,0,b,-1,1,DONE,DONE,172,34.6
richbc_rich_bc_v5_fixed_ckpt40,v5,20021,1,b,-1,1,DONE,DONE,129,22.9
richbc_rich_bc_v5_fixed_ckpt40,v5,20025,1,b,-1,1,DONE,DONE,159,23.5
richbc_rich_bc_v5_fixed_ckpt40,v5,20027,1,b,-1,1,DONE,DONE,115,19.7
richbc_rich_bc_v5_fixed_ckpt40,v5,20022,0,b,-1,1,DONE,DONE,143,34.5
richbc_rich_bc_v5_fixed_ckpt40,v5,20026,0,b,-1,1,DONE,DONE,126,32.1
richbc_rich_bc_v5_fixed_ckpt40,v5,20023,1,b,-1,1,DONE,DONE,128,30.0
richbc_rich_bc_v5_fixed_ckpt40,v5,20024,0,a,1,-1,DONE,DONE,137,30.2
richbc_rich_bc_v5_fixed_ckpt40,v5,20028,0,b,-1,1,DONE,DONE,122,28.7
richbc_rich_bc_v5_fixed_ckpt40,v5,20029,1,b,-1,1,DONE,DONE,190,37.7
richbc_rich_bc_v5_fixed_ckpt40,v5,20030,0,b,-1,1,DONE,DONE,123,19.4
richbc_rich_bc_v5_fixed_ckpt40,v5,20031,1,b,-1,1,DONE,DONE,115,18.2
richbc_rich_bc_v5_fixed_ckpt40,v5,20032,0,b,-1,1,DONE,DONE,132,31.1
richbc_rich_bc_v5_fixed_ckpt40,v5,20033,1,b,-1,1,DONE,DONE,168,40.3
