agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
richbc_tmp_rich_untrained,v5,20000,0,b,-1,1,DONE,DONE,100,7.4
richbc_tmp_rich_untrained,v5,20001,1,b,-1,1,DONE,DONE,87,10.2
richbc_tmp_rich_untrained,v5,20005,1,b,-1,1,DONE,DONE,154,15.0
richbc_tmp_rich_untrained,v5,20002,0,b,-1,1,DONE,DONE,126,16.2
richbc_tmp_rich_untrained,v5,20004,0,b,-1,1,DONE,DONE,122,16.0
richbc_tmp_rich_untrained,v5,20007,1,b,-1,1,DONE,DONE,61,9.2
richbc_tmp_rich_untrained,v5,20003,1,b,-1,1,DONE,DONE,132,19.8
richbc_tmp_rich_untrained,v5,20006,0,b,-1,1,DONE,DONE,128,17.3
richbc_tmp_rich_untrained,v5,20010,0,b,-1,1,DONE,DONE,130,21.1
richbc_tmp_rich_untrained,v5,20009,1,b,-1,1,DONE,DONE,119,22.3
richbc_tmp_rich_untrained,v5,20008,0,b,-1,1,DONE,DONE,118,23.1
richbc_tmp_rich_untrained,v5,20012,0,b,-1,1,DONE,DONE,125,26.1
richbc_tmp_rich_untrained,v5,20011,1,b,-1,1,DONE,DONE,151,31.6
richbc_tmp_rich_untrained,v5,20014,0,b,-1,1,DONE,DONE,92,22.8
richbc_tmp_rich_untrained,v5,20013,1,b,-1,1,DONE,DONE,196,41.4
richbc_tmp_rich_untrained,v5,20015,1,b,-1,1,DONE,DONE,110,26.5
richbc_tmp_rich_untrained,v5,20016,0,b,-1,1,DONE,DONE,96,26.0
richbc_tmp_rich_untrained,v5,20017,1,b,-1,1,DONE,DONE,109,26.0
richbc_tmp_rich_untrained,v5,20018,0,b,-1,1,DONE,DONE,122,26.5
richbc_tmp_rich_untrained,v5,20020,0,b,-1,1,DONE,DONE,104,22.4
richbc_tmp_rich_untrained,v5,20021,1,b,-1,1,DONE,DONE,133,22.5
richbc_tmp_rich_untrained,v5,20019,1,b,-1,1,DONE,DONE,138,28.4
richbc_tmp_rich_untrained,v5,20022,0,b,-1,1,DONE,DONE,134,24.7
richbc_tmp_rich_untrained,v5,20023,1,b,-1,1,DONE,DONE,107,25.7
richbc_tmp_rich_untrained,v5,20024,0,b,-1,1,DONE,DONE,121,23.5
richbc_tmp_rich_untrained,v5,20025,1,b,-1,1,DONE,DONE,84,17.9
richbc_tmp_rich_untrained,v5,20028,0,b,-1,1,DONE,DONE,94,18.8
richbc_tmp_rich_untrained,v5,20026,0,b,-1,1,DONE,DONE,126,28.1
richbc_tmp_rich_untrained,v5,20030,0,b,-1,1,DONE,DONE,111,25.7
richbc_tmp_rich_untrained,v5,20029,1,b,-1,1,DONE,DONE,115,28.0
richbc_tmp_rich_untrained,v5,20027,1,b,-1,1,DONE,DONE,183,45.6
richbc_tmp_rich_untrained,v5,20032,0,b,-1,1,DONE,DONE,102,28.5
richbc_tmp_rich_untrained,v5,20033,1,b,-1,1,DONE,DONE,107,27.6
richbc_tmp_rich_untrained,v5,20031,1,b,-1,1,DONE,DONE,166,42.8
