agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
richbc_rich_bc_v5_ckpt40,v5,20001,1,b,-1,1,DONE,DONE,147,29.8
richbc_rich_bc_v5_ckpt40,v5,20000,0,b,-1,1,DONE,DONE,125,30.8
richbc_rich_bc_v5_ckpt40,v5,20005,1,b,-1,1,DONE,DONE,131,31.5
richbc_rich_bc_v5_ckpt40,v5,20004,0,b,-1,1,DONE,DONE,129,34.6
richbc_rich_bc_v5_ckpt40,v5,20002,0,b,-1,1,DONE,DONE,156,37.6
richbc_rich_bc_v5_ckpt40,v5,20003,1,a,1,-1,DONE,DONE,186,39.7
richbc_rich_bc_v5_ckpt40,v5,20006,0,b,-1,1,DONE,DONE,128,24.2
richbc_rich_bc_v5_ckpt40,v5,20007,1,b,-1,1,DONE,DONE,119,24.0
richbc_rich_bc_v5_ckpt40,v5,20008,0,b,-1,1,DONE,DONE,165,33.5
richbc_rich_bc_v5_ckpt40,v5,20010,0,b,-1,1,DONE,DONE,117,30.0
richbc_rich_bc_v5_ckpt40,v5,20009,1,b,-1,1,DONE,DONE,139,37.6
richbc_rich_bc_v5_ckpt40,v5,20013,1,b,-1,1,DONE,DONE,157,29.6
richbc_rich_bc_v5_ckpt40,v5,20011,1,a,1,-1,DONE,DONE,189,47.5
richbc_rich_bc_v5_ckpt40,v5,20012,0,b,-1,1,DONE,DONE,198,44.1
richbc_rich_bc_v5_ckpt40,v5,20014,0,b,-1,1,DONE,DONE,131,31.6
richbc_rich_bc_v5_ckpt40,v5,20017,1,a,1,-1,DONE,DONE,105,26.7
richbc_rich_bc_v5_ckpt40,v5,20018,0,b,-1,1,DONE,DONE,132,27.8
richbc_rich_bc_v5_ckpt40,v5,20016,0,b,-1,1,DONE,DONE,203,42.5
richbc_rich_bc_v5_ckpt40,v5,20015,1,a,1,-1,DONE,DONE,208,47.9
richbc_rich_bc_v5_ckpt40,v5,20020,0,a,1,-1,DONE,DONE,118,20.0
richbc_rich_bc_v5_ckpt40,v5,20019,1,b,-1,1,DONE,DONE,153,33.6
richbc_rich_bc_v5_ckpt40,v5,20024,0,b,-1,1,DONE,DONE,128,22.8
richbc_rich_bc_v5_ckpt40,v5,20021,1,b,-1,1,DONE,DONE,117,24.2
richbc_rich_bc_v5_ckpt40,v5,20025,1,b,-1,1,DONE,DONE,96,16.8
richbc_rich_bc_v5_ckpt40,v5,20022,0,b,-1,1,DONE,DONE,191,45.0
richbc_rich_bc_v5_ckpt40,v5,20023,1,b,-1,1,DONE,DONE,143,35.0
richbc_rich_bc_v5_ckpt40,v5,20029,1,b,-1,1,DONE,DONE,118,23.9
richbc_rich_bc_v5_ckpt40,v5,20026,0,b,-1,1,DONE,DONE,111,28.1
richbc_rich_bc_v5_ckpt40,v5,20027,1,a,1,-1,DONE,DONE,164,29.8
richbc_rich_bc_v5_ckpt40,v5,20032,0,b,-1,1,DONE,DONE,134,20.7
richbc_rich_bc_v5_ckpt40,v5,20028,0,b,-1,1,DONE,DONE,164,39.5
richbc_rich_bc_v5_ckpt40,v5,20033,1,a,1,-1,DONE,DONE,128,32.7
richbc_rich_bc_v5_ckpt40,v5,20034,0,b,-1,1,DONE,DONE,207,28.6
richbc_rich_bc_v5_ckpt40,v5,20035,1,b,-1,1,DONE,DONE,133,24.1
richbc_rich_bc_v5_ckpt40,v5,20031,1,a,1,-1,DONE,DONE,256,61.7
richbc_rich_bc_v5_ckpt40,v5,20030,0,b,-1,1,DONE,DONE,232,52.3
richbc_rich_bc_v5_ckpt40,v5,20038,0,b,-1,1,DONE,DONE,114,21.8
richbc_rich_bc_v5_ckpt40,v5,20037,1,b,-1,1,DONE,DONE,137,23.7
richbc_rich_bc_v5_ckpt40,v5,20036,0,a,1,-1,DONE,DONE,153,38.9
richbc_rich_bc_v5_ckpt40,v5,20040,0,a,1,-1,DONE,DONE,129,24.5
richbc_rich_bc_v5_ckpt40,v5,20042,0,b,-1,1,DONE,DONE,112,24.9
richbc_rich_bc_v5_ckpt40,v5,20043,1,b,-1,1,DONE,DONE,128,24.7
richbc_rich_bc_v5_ckpt40,v5,20041,1,b,-1,1,DONE,DONE,139,27.6
richbc_rich_bc_v5_ckpt40,v5,20044,0,b,-1,1,DONE,DONE,120,26.8
richbc_rich_bc_v5_ckpt40,v5,20039,1,b,-1,1,DONE,DONE,133,28.0
richbc_rich_bc_v5_ckpt40,v5,20045,1,b,-1,1,DONE,DONE,148,37.7
richbc_rich_bc_v5_ckpt40,v5,20049,1,b,-1,1,DONE,DONE,114,26.8
richbc_rich_bc_v5_ckpt40,v5,20048,0,b,-1,1,DONE,DONE,111,18.0
richbc_rich_bc_v5_ckpt40,v5,20047,1,b,-1,1,DONE,DONE,142,24.7
richbc_rich_bc_v5_ckpt40,v5,20046,0,b,-1,1,DONE,DONE,186,44.3
