agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20000,0,b,-1,1,DONE,DONE,499,25.9
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20003,1,a,1,-1,DONE,DONE,225,21.9
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20004,0,b,-1,1,DONE,DONE,499,27.7
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20006,0,a,1,-1,DONE,DONE,163,9.9
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20005,1,b,-1,1,DONE,DONE,499,44.5
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20001,1,b,-1,1,DONE,DONE,499,45.7
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20002,0,b,-1,1,DONE,DONE,499,45.6
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20008,0,b,-1,1,DONE,DONE,499,29.3
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20009,1,b,-1,1,DONE,DONE,499,32.8
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20007,1,b,-1,1,DONE,DONE,499,54.3
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20013,1,b,-1,1,DONE,DONE,499,31.4
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20010,0,b,-1,1,DONE,DONE,499,48.2
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20011,1,b,-1,1,DONE,DONE,499,50.7
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20014,0,b,-1,1,DONE,DONE,499,29.7
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20012,0,b,-1,1,DONE,DONE,499,54.3
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20018,0,a,1,-1,DONE,DONE,193,11.7
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20021,1,b,-1,1,DONE,DONE,145,12.9
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20017,1,b,-1,1,DONE,DONE,499,38.9
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20020,0,b,-1,1,DONE,DONE,499,35.8
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20016,0,b,-1,1,DONE,DONE,499,52.4
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20015,1,a,1,-1,DONE,DONE,473,65.2
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20024,0,a,1,-1,DONE,DONE,143,13.9
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20019,1,b,-1,1,DONE,DONE,499,50.2
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20023,1,b,-1,1,DONE,DONE,499,52.4
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20025,1,b,-1,1,DONE,DONE,499,50.8
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20022,0,b,-1,1,DONE,DONE,499,51.7
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20026,0,b,-1,1,DONE,DONE,499,45.3
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20028,0,b,-1,1,DONE,DONE,499,49.9
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20027,1,b,-1,1,DONE,DONE,499,46.6
exit_v2_exit_producer256_v3_a100_000005,exit_v2_exit_producer256_a100_000025,20029,1,b,-1,1,DONE,DONE,499,29.9
exit_v2_exit_producer256_v3_a100_000035,exit_v2_exit_producer256_a100_000025,20005,1,b,-1,1,DONE,DONE,129,7.7
exit_v2_exit_producer256_v3_a100_000035,exit_v2_exit_producer256_a100_000025,20003,1,b,-1,1,DONE,DONE,120,12.7
exit_v2_exit_producer256_v3_a100_000035,exit_v2_exit_producer256_a100_000025,20002,0,b,-1,1,DONE,DONE,122,12.3
exit_v2_exit_producer256_v3_a100_000035,exit_v2_exit_producer256_a100_000025,20006,0,b,-1,1,DONE,DONE,126,7.2
exit_v2_exit_producer256_v3_a100_000035,exit_v2_exit_producer256_a100_000025,20001,1,b,-1,1,DONE,DONE,499,34.7
exit_v2_exit_producer256_v3_a100_000035,exit_v2_exit_producer256_a100_000025,20009,1,b,-1,1,DONE,DONE,499,41.0
exit_v2_exit_producer256_v3_a100_000035,exit_v2_exit_producer256_a100_000025,20000,0,b,-1,1,DONE,DONE,499,66.7
exit_v2_exit_producer256_v3_a100_000035,exit_v2_exit_producer256_a100_000025,20004,0,b,-1,1,DONE,DONE,499,69.2
exit_v2_exit_producer256_v3_a100_000035,exit_v2_exit_producer256_a100_000025,20010,0,b,-1,1,DONE,DONE,499,46.2
