agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,seconds
v5,producer,20000,0,b,-1,1,DONE,DONE,10.4
v5,producer,20004,0,a,1,-1,DONE,DONE,17.6
v5,producer,20005,1,a,1,-1,DONE,DONE,20.0
v5,producer,20006,0,a,1,-1,DONE,DONE,14.5
v5,producer,20002,0,b,-1,1,DONE,DONE,29.5
v5,producer,20009,1,a,1,-1,DONE,DONE,16.0
v5,producer,20008,0,a,1,-1,DONE,DONE,21.5
v5,producer,20010,0,a,1,-1,DONE,DONE,14.8
v5,producer,20011,1,a,1,-1,DONE,DONE,8.8
v5,producer,20007,1,b,-1,1,DONE,DONE,31.9
v5,producer,20001,1,a,1,-1,DONE,DONE,57.8
v5,producer,20012,0,b,-1,1,DONE,DONE,15.9
v5,producer,20003,1,tie,1,1,DONE,DONE,66.0
v5,producer,20013,1,b,-1,1,DONE,DONE,26.5
v5,producer,20017,1,b,-1,1,DONE,DONE,15.5
v5,producer,20014,0,b,-1,1,DONE,DONE,32.5
v5,producer,20018,0,b,-1,1,DONE,DONE,25.0
v5,producer,20021,1,b,-1,1,DONE,DONE,23.7
v5,producer,20019,1,b,-1,1,DONE,DONE,36.0
v5,producer,20016,0,b,-1,1,DONE,DONE,68.7
v5,producer,20022,0,b,-1,1,DONE,DONE,36.7
v5,producer,20015,1,b,-1,1,DONE,DONE,79.9
v5,producer,20020,0,a,1,-1,DONE,DONE,57.3
v5,producer,20024,0,b,-1,1,DONE,DONE,23.8
v5,producer,20027,1,b,-1,1,DONE,DONE,14.5
v5,producer,20025,1,b,-1,1,DONE,DONE,31.0
v5,producer,20026,0,b,-1,1,DONE,DONE,29.3
v5,producer,20028,0,a,1,-1,DONE,DONE,20.2
v5,producer,20023,1,a,1,-1,DONE,DONE,44.4
v5,producer,20033,1,b,-1,1,DONE,DONE,21.9
v5,producer,20034,0,b,-1,1,DONE,DONE,22.8
v5,producer,20029,1,a,1,-1,DONE,DONE,46.7
v5,producer,20030,0,a,1,-1,DONE,DONE,40.3
v5,producer,20032,0,a,1,-1,DONE,DONE,32.2
v5,producer,20036,0,b,-1,1,DONE,DONE,30.6
v5,producer,20031,1,b,-1,1,DONE,DONE,63.6
v5,producer,20037,1,a,1,-1,DONE,DONE,34.4
v5,producer,20035,1,a,1,-1,DONE,DONE,48.0
v5,producer,20040,0,b,-1,1,DONE,DONE,22.0
v5,producer,20038,0,a,1,-1,DONE,DONE,50.1
v5,producer,20043,1,b,-1,1,DONE,DONE,16.1
v5,producer,20039,1,b,-1,1,DONE,DONE,56.6
v5,producer,20042,0,b,-1,1,DONE,DONE,38.1
v5,producer,20046,0,a,1,-1,DONE,DONE,22.2
v5,producer,20041,1,b,-1,1,DONE,DONE,51.7
v5,producer,20045,1,a,1,-1,DONE,DONE,33.0
v5,producer,20044,0,a,1,-1,DONE,DONE,44.0
v5,producer,20047,1,b,-1,1,DONE,DONE,40.8
v5,producer,20048,0,a,1,-1,DONE,DONE,27.2
v5,producer,20049,1,b,-1,1,DONE,DONE,26.8
v5,producer,20051,1,b,-1,1,DONE,DONE,31.3
v5,producer,20050,0,a,1,-1,DONE,DONE,48.2
v5,producer,20054,0,b,-1,1,DONE,DONE,33.3
v5,producer,20056,0,b,-1,1,DONE,DONE,12.9
v5,producer,20053,1,b,-1,1,DONE,DONE,38.6
v5,producer,20055,1,a,1,-1,DONE,DONE,42.8
v5,producer,20052,0,b,-1,1,DONE,DONE,49.6
v5,producer,20057,1,a,1,-1,DONE,DONE,23.9
v5,producer,20059,1,a,1,-1,DONE,DONE,23.5
v5,producer,20058,0,a,1,-1,DONE,DONE,25.3
