agent_0,agent_1,agent_2,agent_3,seed,rot,reward_0,score_0,rank_0,status_0,reward_1,score_1,rank_1,status_1,reward_2,score_2,rank_2,status_2,reward_3,score_3,rank_3,status_3,seconds
enders_1000,v5,producer,tamrazov_1224,20003,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2412.0,1,DONE,-1.0,0.0,2,DONE,27.4
v5,producer,tamrazov_1224,enders_1000,20000,0,-1.0,0.0,2,DONE,1.0,3520.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,31.8
producer,tamrazov_1224,enders_1000,v5,20001,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2681.0,1,DONE,45.4
producer,tamrazov_1224,enders_1000,v5,20005,1,1.0,3057.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,46.0
tamrazov_1224,enders_1000,v5,producer,20006,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,1852.0,1,DONE,-1.0,0.0,2,DONE,25.1
v5,producer,tamrazov_1224,enders_1000,20004,0,-1.0,0.0,2,DONE,1.0,2963.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,63.0
enders_1000,v5,producer,tamrazov_1224,20007,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2245.0,1,DONE,-1.0,0.0,2,DONE,37.1
tamrazov_1224,enders_1000,v5,producer,20002,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2553.0,1,DONE,-1.0,0.0,2,DONE,70.8
tamrazov_1224,enders_1000,v5,producer,20010,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2288.0,1,DONE,-1.0,0.0,2,DONE,21.9
tamrazov_1224,enders_1000,v5,producer,20014,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,1748.0,1,DONE,-1.0,0.0,2,DONE,42.0
producer,tamrazov_1224,enders_1000,v5,20013,1,1.0,1622.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,47.9
producer,tamrazov_1224,enders_1000,v5,20009,1,1.0,3418.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,74.3
enders_1000,v5,producer,tamrazov_1224,20011,3,-1.0,0.0,3,DONE,1.0,22278.0,1,DONE,-1.0,343.0,2,DONE,-1.0,0.0,3,DONE,63.9
v5,producer,tamrazov_1224,enders_1000,20012,0,1.0,11889.0,1,DONE,-1.0,34.0,2,DONE,-1.0,0.0,3,DONE,-1.0,0.0,3,DONE,63.8
enders_1000,v5,producer,tamrazov_1224,20015,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,1686.0,1,DONE,-1.0,0.0,2,DONE,31.4
enders_1000,v5,producer,tamrazov_1224,20019,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2672.0,1,DONE,-1.0,0.0,2,DONE,23.0
v5,producer,tamrazov_1224,enders_1000,20008,0,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,3296.0,1,DONE,119.2
producer,tamrazov_1224,enders_1000,v5,20017,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,1166.0,1,DONE,42.1
tamrazov_1224,enders_1000,v5,producer,20018,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2252.0,1,DONE,-1.0,0.0,2,DONE,35.6
enders_1000,v5,producer,tamrazov_1224,20023,3,-1.0,0.0,2,DONE,1.0,9485.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,33.0
producer,tamrazov_1224,enders_1000,v5,20021,1,1.0,2722.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,21.1
v5,producer,tamrazov_1224,enders_1000,20016,0,-1.0,0.0,2,DONE,1.0,1883.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,58.5
tamrazov_1224,enders_1000,v5,producer,20022,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2411.0,1,DONE,-1.0,0.0,2,DONE,42.2
v5,producer,tamrazov_1224,enders_1000,20024,0,-1.0,0.0,2,DONE,1.0,4133.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,47.2
v5,producer,tamrazov_1224,enders_1000,20020,0,1.0,2234.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,66.6
producer,tamrazov_1224,enders_1000,v5,20025,1,1.0,2201.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,29.3
enders_1000,v5,producer,tamrazov_1224,20027,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,4523.0,1,DONE,-1.0,0.0,2,DONE,40.6
v5,producer,tamrazov_1224,enders_1000,20028,0,1.0,10726.0,1,DONE,-1.0,0.0,3,DONE,-1.0,0.0,3,DONE,-1.0,30.0,2,DONE,53.9
