agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5_value_rerank_eps4.0,v5,20002,0,b,-1,1,DONE,DONE,109,9.7
v5_value_rerank_eps4.0,v5,20005,1,a,1,-1,DONE,DONE,111,10.0
v5_value_rerank_eps4.0,v5,20000,0,a,1,-1,DONE,DONE,158,10.3
v5_value_rerank_eps4.0,v5,20001,1,b,-1,1,DONE,DONE,120,11.7
v5_value_rerank_eps4.0,v5,20004,0,a,1,-1,DONE,DONE,196,10.5
v5_value_rerank_eps4.0,v5,20003,1,a,1,-1,DONE,DONE,175,18.3
v5_value_rerank_eps4.0,v5,20008,0,b,-1,1,DONE,DONE,168,13.7
v5_value_rerank_eps4.0,v5,20010,0,a,1,-1,DONE,DONE,156,11.9
v5_value_rerank_eps4.0,v5,20006,0,a,1,-1,DONE,DONE,127,14.4
v5_value_rerank_eps4.0,v5,20009,1,a,1,-1,DONE,DONE,122,12.5
v5_value_rerank_eps4.0,v5,20007,1,b,-1,1,DONE,DONE,134,17.0
v5_value_rerank_eps4.0,v5,20011,1,b,-1,1,DONE,DONE,164,19.1
v5_value_rerank_eps4.0,v5,20013,1,b,-1,1,DONE,DONE,184,15.5
v5_value_rerank_eps4.0,v5,20012,0,a,1,-1,DONE,DONE,169,21.9
v5_value_rerank_eps4.0,v5,20014,0,b,-1,1,DONE,DONE,173,23.4
v5_value_rerank_eps4.0,v5,20018,0,a,1,-1,DONE,DONE,139,14.3
v5_value_rerank_eps4.0,v5,20016,0,b,-1,1,DONE,DONE,237,27.5
v5_value_rerank_eps4.0,v5,20017,1,b,-1,1,DONE,DONE,191,16.2
v5_value_rerank_eps4.0,v5,20019,1,b,-1,1,DONE,DONE,147,11.1
v5_value_rerank_eps4.0,v5,20020,0,a,1,-1,DONE,DONE,123,15.4
v5_value_rerank_eps4.0,v5,20022,0,b,-1,1,DONE,DONE,174,14.2
v5_value_rerank_eps4.0,v5,20021,1,a,1,-1,DONE,DONE,135,17.6
v5_value_rerank_eps4.0,v5,20023,1,b,-1,1,DONE,DONE,124,9.5
v5_value_rerank_eps4.0,v5,20015,1,tie,1,1,DONE,DONE,499,53.2
