archetype,dose,seed,v5_side,outcome,reward_v5,reward_arch,score_v5,score_arch,steps,status_v5,status_arch,seconds
half_drainer,0,20001,1,v5,1,-1,1692.0,0.0,85,DONE,DONE,2.4
half_drainer,0,20004,0,v5,1,-1,2428.0,0.0,99,DONE,DONE,3.0
half_drainer,0,20006,0,v5,1,-1,3501.0,0.0,128,DONE,DONE,3.9
half_drainer,0,20003,1,v5,1,-1,2566.0,0.0,147,DONE,DONE,7.5
half_drainer,0,20005,1,v5,1,-1,1226.0,0.0,112,DONE,DONE,5.9
half_drainer,0,20002,0,v5,1,-1,5393.0,0.0,123,DONE,DONE,6.4
half_drainer,0,20000,0,v5,1,-1,4884.0,0.0,133,DONE,DONE,7.6
half_drainer,0,20007,1,v5,1,-1,6005.0,0.0,134,DONE,DONE,5.4
half_drainer,0,20013,1,v5,1,-1,3679.0,0.0,112,DONE,DONE,4.0
half_drainer,0,20008,0,v5,1,-1,4819.0,0.0,141,DONE,DONE,7.0
half_drainer,0,20011,1,v5,1,-1,2366.0,0.0,127,DONE,DONE,4.7
half_drainer,0,20009,1,v5,1,-1,2407.0,0.0,121,DONE,DONE,6.7
half_drainer,0,20012,0,v5,1,-1,4443.0,0.0,92,DONE,DONE,6.7
half_drainer,0,20010,0,v5,1,-1,6392.0,0.0,128,DONE,DONE,9.0
half_drainer,0,20015,1,v5,1,-1,4906.0,0.0,116,DONE,DONE,5.2
half_drainer,0,20014,0,v5,1,-1,3269.0,0.0,114,DONE,DONE,6.2
half_drainer,0,20016,0,v5,1,-1,4918.0,0.0,141,DONE,DONE,8.2
half_drainer,0,20017,1,v5,1,-1,3395.0,0.0,111,DONE,DONE,8.3
half_drainer,0,20019,1,v5,1,-1,1892.0,0.0,108,DONE,DONE,6.9
half_drainer,0,20018,0,v5,1,-1,5577.0,0.0,127,DONE,DONE,9.7
half_drainer,0,20024,0,v5,1,-1,252.0,0.0,60,DONE,DONE,2.4
half_drainer,0,20022,0,v5,1,-1,1928.0,0.0,110,DONE,DONE,6.6
half_drainer,0,20023,1,v5,1,-1,2763.0,0.0,102,DONE,DONE,8.1
half_drainer,0,20025,1,v5,1,-1,3542.0,0.0,89,DONE,DONE,7.6
half_drainer,0,20021,1,v5,1,-1,6610.0,0.0,136,DONE,DONE,5.7
half_drainer,0,20020,0,v5,1,-1,2373.0,0.0,116,DONE,DONE,8.0
half_drainer,0,20029,1,v5,1,-1,4062.0,0.0,123,DONE,DONE,6.1
half_drainer,0,20027,1,v5,1,-1,446.0,0.0,132,DONE,DONE,4.9
half_drainer,0,20030,0,v5,1,-1,3045.0,0.0,134,DONE,DONE,8.2
half_drainer,0,20026,0,v5,1,-1,482.0,0.0,67,DONE,DONE,4.3
half_drainer,0,20033,1,v5,1,-1,2731.0,0.0,95,DONE,DONE,4.1
half_drainer,0,20034,0,v5,1,-1,4652.0,0.0,107,DONE,DONE,4.6
half_drainer,0,20036,0,v5,1,-1,3753.0,0.0,87,DONE,DONE,3.9
half_drainer,0,20032,0,v5,1,-1,6736.0,0.0,121,DONE,DONE,10.4
half_drainer,0,20028,0,v5,1,-1,1134.0,0.0,117,DONE,DONE,7.9
half_drainer,0,20038,0,v5,1,-1,1172.0,0.0,111,DONE,DONE,4.5
half_drainer,0,20035,1,v5,1,-1,5222.0,0.0,144,DONE,DONE,11.6
half_drainer,0,20037,1,v5,1,-1,4084.0,0.0,145,DONE,DONE,7.4
half_drainer,0,20031,1,v5,1,-1,4837.0,0.0,143,DONE,DONE,10.1
half_drainer,0,20040,0,v5,1,-1,6867.0,0.0,144,DONE,DONE,9.3
half_drainer,0,20041,1,v5,1,-1,3850.0,0.0,120,DONE,DONE,5.9
half_drainer,0,20045,1,v5,1,-1,4034.0,0.0,105,DONE,DONE,4.3
half_drainer,0,20039,1,v5,1,-1,3783.0,0.0,212,DONE,DONE,14.2
half_drainer,0,20042,0,v5,1,-1,590.0,0.0,206,DONE,DONE,11.4
half_drainer,0,20047,1,v5,1,-1,588.0,0.0,80,DONE,DONE,3.0
half_drainer,0,20046,0,v5,1,-1,5041.0,0.0,128,DONE,DONE,9.5
half_drainer,0,20048,0,v5,1,-1,2429.0,0.0,99,DONE,DONE,4.3
half_drainer,0,20044,0,v5,1,-1,3478.0,0.0,118,DONE,DONE,8.6
half_drainer,0,20043,1,v5,1,-1,5419.0,0.0,133,DONE,DONE,10.2
half_drainer,0,20051,1,v5,1,-1,3992.0,0.0,120,DONE,DONE,6.5
half_drainer,0,20049,1,v5,1,-1,3402.0,0.0,94,DONE,DONE,4.6
half_drainer,0,20050,0,v5,1,-1,2722.0,0.0,112,DONE,DONE,7.4
half_drainer,0,20053,1,v5,1,-1,4477.0,0.0,126,DONE,DONE,10.4
half_drainer,0,20054,0,v5,1,-1,2521.0,0.0,117,DONE,DONE,9.3
half_drainer,0,20056,0,v5,1,-1,7480.0,0.0,161,DONE,DONE,8.3
half_drainer,0,20060,0,v5,1,-1,1862.0,0.0,76,DONE,DONE,3.1
half_drainer,0,20057,1,v5,1,-1,2923.0,0.0,108,DONE,DONE,7.4
half_drainer,0,20055,1,v5,1,-1,4798.0,0.0,127,DONE,DONE,6.5
half_drainer,0,20052,0,v5,1,-1,4351.0,0.0,160,DONE,DONE,10.9
half_drainer,0,20058,0,v5,1,-1,2293.0,0.0,123,DONE,DONE,10.2
half_drainer,0,20063,1,v5,1,-1,1872.0,0.0,84,DONE,DONE,4.7
half_drainer,0,20059,1,v5,1,-1,4517.0,0.0,126,DONE,DONE,11.8
half_drainer,0,20061,1,v5,1,-1,7088.0,0.0,111,DONE,DONE,7.3
half_drainer,0,20066,0,v5,1,-1,2366.0,0.0,72,DONE,DONE,4.9
half_drainer,0,20064,0,v5,1,-1,1425.0,0.0,139,DONE,DONE,12.8
half_drainer,0,20062,0,v5,1,-1,3494.0,0.0,129,DONE,DONE,14.5
half_drainer,0,20065,1,v5,1,-1,4091.0,0.0,115,DONE,DONE,12.3
half_drainer,0,20067,1,v5,1,-1,1005.0,0.0,119,DONE,DONE,10.9
half_drainer,0,20069,1,v5,1,-1,4552.0,0.0,122,DONE,DONE,8.4
half_drainer,0,20071,1,v5,1,-1,4746.0,0.0,117,DONE,DONE,7.6
half_drainer,0,20070,0,v5,1,-1,5400.0,0.0,107,DONE,DONE,9.5
