archetype,dose,seed,v5_side,outcome,reward_v5,reward_arch,score_v5,score_arch,steps,status_v5,status_arch,seconds
swarmer,0,20002,0,v5,1,-1,2108.0,0.0,89,DONE,DONE,2.8
swarmer,0,20000,0,v5,1,-1,5987.0,0.0,156,DONE,DONE,5.3
swarmer,0,20001,1,v5,1,-1,6020.0,0.0,142,DONE,DONE,7.5
swarmer,0,20007,1,v5,1,-1,2798.0,0.0,140,DONE,DONE,4.5
swarmer,0,20003,1,v5,1,-1,3457.0,0.0,125,DONE,DONE,6.6
swarmer,0,20006,0,v5,1,-1,4888.0,0.0,152,DONE,DONE,6.4
swarmer,0,20004,0,v5,1,-1,4896.0,0.0,150,DONE,DONE,8.3
swarmer,0,20005,1,v5,1,-1,5809.0,0.0,145,DONE,DONE,9.0
swarmer,0,20009,1,v5,1,-1,2849.0,0.0,117,DONE,DONE,3.6
swarmer,0,20011,1,v5,1,-1,4439.0,0.0,140,DONE,DONE,4.5
swarmer,0,20008,0,v5,1,-1,4525.0,0.0,121,DONE,DONE,8.9
swarmer,0,20014,0,v5,1,-1,2525.0,0.0,145,DONE,DONE,5.8
swarmer,0,20012,0,v5,1,-1,4326.0,0.0,112,DONE,DONE,7.9
swarmer,0,20013,1,v5,1,-1,3192.0,0.0,133,DONE,DONE,9.0
swarmer,0,20010,0,v5,1,-1,2997.0,0.0,181,DONE,DONE,11.3
swarmer,0,20015,1,v5,1,-1,6193.0,0.0,157,DONE,DONE,8.0
swarmer,0,20017,1,v5,1,-1,2186.0,0.0,73,DONE,DONE,6.1
swarmer,0,20016,0,v5,1,-1,5979.0,0.0,151,DONE,DONE,10.4
swarmer,0,20019,1,v5,1,-1,7739.0,0.0,148,DONE,DONE,9.8
swarmer,0,20020,0,v5,1,-1,4019.0,0.0,135,DONE,DONE,9.8
swarmer,0,20022,0,v5,1,-1,2192.0,0.0,140,DONE,DONE,6.6
swarmer,0,20024,0,v5,1,-1,2147.0,0.0,83,DONE,DONE,3.5
swarmer,0,20023,1,v5,1,-1,7579.0,0.0,138,DONE,DONE,12.7
swarmer,0,20021,1,v5,1,-1,3982.0,0.0,135,DONE,DONE,10.4
swarmer,0,20025,1,v5,1,-1,5795.0,0.0,138,DONE,DONE,12.1
swarmer,0,20026,0,v5,1,-1,4264.0,0.0,144,DONE,DONE,5.5
swarmer,0,20030,0,v5,1,-1,6029.0,0.0,114,DONE,DONE,6.1
swarmer,0,20018,0,v5,1,-1,7677.0,0.0,361,DONE,DONE,23.4
swarmer,0,20027,1,v5,1,-1,5734.0,0.0,155,DONE,DONE,10.2
swarmer,0,20032,0,v5,1,-1,1638.0,0.0,77,DONE,DONE,3.3
swarmer,0,20029,1,v5,1,-1,3701.0,0.0,164,DONE,DONE,12.4
swarmer,0,20034,0,v5,1,-1,2136.0,0.0,114,DONE,DONE,4.5
swarmer,0,20028,0,v5,1,-1,2480.0,0.0,96,DONE,DONE,6.7
swarmer,0,20035,1,v5,1,-1,6472.0,0.0,150,DONE,DONE,7.0
swarmer,0,20038,0,v5,1,-1,1884.0,0.0,88,DONE,DONE,3.6
swarmer,0,20033,1,v5,1,-1,4597.0,0.0,149,DONE,DONE,10.9
swarmer,0,20031,1,v5,1,-1,2326.0,0.0,96,DONE,DONE,7.1
swarmer,0,20036,0,v5,1,-1,7790.0,0.0,120,DONE,DONE,8.3
swarmer,0,20039,1,v5,1,-1,4052.0,0.0,136,DONE,DONE,6.0
swarmer,0,20037,1,v5,1,-1,5087.0,0.0,161,DONE,DONE,12.3
swarmer,0,20040,0,v5,1,-1,4101.0,0.0,114,DONE,DONE,9.3
swarmer,0,20044,0,v5,1,-1,6487.0,0.0,124,DONE,DONE,4.8
swarmer,0,20043,1,v5,1,-1,2934.0,0.0,158,DONE,DONE,9.6
swarmer,0,20041,1,v5,1,-1,5997.0,0.0,142,DONE,DONE,12.4
swarmer,0,20046,0,v5,1,-1,986.0,0.0,78,DONE,DONE,5.7
swarmer,0,20042,0,v5,1,-1,6376.0,0.0,159,DONE,DONE,8.7
swarmer,0,20045,1,v5,1,-1,8011.0,0.0,143,DONE,DONE,9.9
swarmer,0,20048,0,v5,1,-1,1089.0,0.0,124,DONE,DONE,6.2
