opp,seed,side,variant,win,tie,reward,margin,steps
tamrazov_1224,41001,1,single,1,0,1.0,4430.0,144
tamrazov_1224,41000,1,single,1,0,1.0,926.0,120
tamrazov_1224,41001,0,single,1,0,1.0,3005.0,145
tamrazov_1224,41000,1,ens,1,0,1.0,2941.0,119
tamrazov_1224,41000,0,ens,1,0,1.0,3550.0,105
tamrazov_1224,41000,0,single,1,0,1.0,3304.0,117
tamrazov_1224,41001,0,ens,1,0,1.0,3959.0,138
tamrazov_1224,41002,0,ens,1,0,1.0,1799.0,98
tamrazov_1224,41002,1,single,1,0,1.0,1251.0,88
tamrazov_1224,41002,0,single,1,0,1.0,3462.0,118
tamrazov_1224,41003,0,single,1,0,1.0,2445.0,103
tamrazov_1224,41002,1,ens,1,0,1.0,6406.0,120
tamrazov_1224,41003,0,ens,1,0,1.0,1506.0,81
tamrazov_1224,41001,1,ens,1,0,1.0,3815.0,126
tamrazov_1224,41003,1,ens,1,0,1.0,2753.0,110
tamrazov_1224,41004,0,single,1,0,1.0,3018.0,105
tamrazov_1224,41003,1,single,1,0,1.0,3494.0,120
tamrazov_1224,41004,1,ens,1,0,1.0,4032.0,142
tamrazov_1224,41004,0,ens,1,0,1.0,3113.0,118
tamrazov_1224,41004,1,single,1,0,1.0,2803.0,103
tamrazov_1224,41005,0,single,1,0,1.0,2399.0,102
tamrazov_1224,41005,1,single,1,0,1.0,1051.0,111
tamrazov_1224,41005,0,ens,1,0,1.0,2953.0,107
tamrazov_1224,41006,1,single,1,0,1.0,2484.0,99
tamrazov_1224,41005,1,ens,1,0,1.0,3342.0,129
tamrazov_1224,41006,0,single,1,0,1.0,3633.0,106
tamrazov_1224,41006,0,ens,1,0,1.0,2888.0,122
tamrazov_1224,41006,1,ens,1,0,1.0,5189.0,122
tamrazov_1224,41007,0,single,1,0,1.0,3498.0,100
tamrazov_1224,41007,0,ens,1,0,1.0,2136.0,97
tamrazov_1224,41007,1,ens,1,0,1.0,2252.0,87
tamrazov_1224,41008,0,ens,1,0,1.0,4930.0,128
tamrazov_1224,41008,0,single,1,0,1.0,3994.0,111
tamrazov_1224,41007,1,single,1,0,1.0,6702.0,137
tamrazov_1224,41009,0,single,1,0,1.0,2435.0,105
tamrazov_1224,41008,1,single,1,0,1.0,2102.0,99
tamrazov_1224,41008,1,ens,1,0,1.0,2276.0,123
tamrazov_1224,41009,0,ens,1,0,1.0,1828.0,106
tamrazov_1224,41009,1,ens,1,0,1.0,2543.0,118
tamrazov_1224,41010,1,single,1,0,1.0,2265.0,100
tamrazov_1224,41010,0,ens,1,0,1.0,2306.0,149
tamrazov_1224,41009,1,single,1,0,1.0,4079.0,123
tamrazov_1224,41011,0,single,1,0,1.0,2942.0,95
tamrazov_1224,41011,0,ens,1,0,1.0,2251.0,99
tamrazov_1224,41010,0,single,1,0,1.0,2810.0,135
tamrazov_1224,41011,1,single,1,0,1.0,3095.0,121
tamrazov_1224,41010,1,ens,1,0,1.0,2783.0,93
tamrazov_1224,41012,0,single,1,0,1.0,2815.0,111
tamrazov_1224,41013,0,ens,1,0,1.0,1827.0,94
tamrazov_1224,41012,0,ens,1,0,1.0,2617.0,120
tamrazov_1224,41012,1,single,1,0,1.0,2626.0,100
tamrazov_1224,41013,1,single,1,0,1.0,1309.0,84
tamrazov_1224,41011,1,ens,1,0,1.0,3906.0,161
tamrazov_1224,41012,1,ens,1,0,1.0,4470.0,120
tamrazov_1224,41013,0,single,1,0,1.0,3071.0,104
tamrazov_1224,41014,1,ens,1,0,1.0,1999.0,99
tamrazov_1224,41014,0,single,1,0,1.0,1762.0,128
tamrazov_1224,41013,1,ens,1,0,1.0,2897.0,103
tamrazov_1224,41014,0,ens,1,0,1.0,5263.0,114
tamrazov_1224,41014,1,single,1,0,1.0,2974.0,109
tamrazov_1224,41015,0,single,1,0,1.0,2696.0,126
tamrazov_1224,41016,0,ens,1,0,1.0,2349.0,95
tamrazov_1224,41015,1,single,1,0,1.0,1959.0,138
tamrazov_1224,41015,0,ens,1,0,1.0,2475.0,120
tamrazov_1224,41016,0,single,1,0,1.0,2020.0,117
tamrazov_1224,41016,1,single,1,0,1.0,3260.0,126
tamrazov_1224,41015,1,ens,1,0,1.0,2347.0,115
tamrazov_1224,41017,1,single,1,0,1.0,3865.0,113
tamrazov_1224,41017,1,ens,1,0,1.0,3928.0,126
tamrazov_1224,41018,0,single,1,0,1.0,3917.0,152
tamrazov_1224,41016,1,ens,1,0,1.0,5416.0,119
tamrazov_1224,41017,0,ens,1,0,1.0,5255.0,120
tamrazov_1224,41018,1,single,1,0,1.0,3269.0,100
tamrazov_1224,41018,0,ens,1,0,1.0,2415.0,121
tamrazov_1224,41018,1,ens,1,0,1.0,2118.0,81
tamrazov_1224,41019,0,ens,1,0,1.0,706.0,108
tamrazov_1224,41017,0,single,1,0,1.0,1687.0,251
tamrazov_1224,41019,1,ens,1,0,1.0,4937.0,110
tamrazov_1224,41019,1,single,1,0,1.0,2885.0,116
tamrazov_1224,41020,0,single,1,0,1.0,4422.0,128
tamrazov_1224,41020,1,ens,1,0,1.0,2272.0,134
tamrazov_1224,41020,1,single,1,0,1.0,3529.0,99
tamrazov_1224,41021,0,ens,1,0,1.0,1104.0,90
tamrazov_1224,41020,0,ens,1,0,1.0,2372.0,103
tamrazov_1224,41021,1,single,1,0,1.0,2469.0,96
tamrazov_1224,41019,0,single,1,0,1.0,2844.0,211
tamrazov_1224,41021,0,single,1,0,1.0,2860.0,105
tamrazov_1224,41022,0,ens,1,0,1.0,1014.0,106
tamrazov_1224,41022,1,single,1,0,1.0,3754.0,113
tamrazov_1224,41022,0,single,1,0,1.0,3568.0,125
tamrazov_1224,41021,1,ens,1,0,1.0,2935.0,90
tamrazov_1224,41022,1,ens,1,0,1.0,2391.0,97
tamrazov_1224,41023,0,ens,1,0,1.0,2778.0,100
tamrazov_1224,41023,0,single,1,0,1.0,2693.0,101
tamrazov_1224,41024,0,ens,1,0,1.0,1005.0,100
tamrazov_1224,41023,1,single,1,0,1.0,1630.0,159
tamrazov_1224,41023,1,ens,1,0,1.0,4803.0,111
tamrazov_1224,41024,0,single,1,0,1.0,2998.0,117
tamrazov_1224,41024,1,single,1,0,1.0,2825.0,127
tamrazov_1224,41025,0,single,1,0,1.0,2813.0,113
tamrazov_1224,41024,1,ens,1,0,1.0,3230.0,108
tamrazov_1224,41025,1,ens,1,0,1.0,1185.0,118
tamrazov_1224,41025,0,ens,1,0,1.0,2402.0,112
tamrazov_1224,41025,1,single,1,0,1.0,2053.0,127
tamrazov_1224,41026,0,ens,1,0,1.0,3032.0,106
tamrazov_1224,41026,1,single,1,0,1.0,2573.0,108
tamrazov_1224,41026,1,ens,1,0,1.0,2236.0,95
tamrazov_1224,41026,0,single,1,0,1.0,3596.0,120
tamrazov_1224,41027,0,single,1,0,1.0,3584.0,105
tamrazov_1224,41027,1,single,1,0,1.0,1756.0,113
tamrazov_1224,41027,1,ens,1,0,1.0,1943.0,115
tamrazov_1224,41027,0,ens,1,0,1.0,3605.0,119
tamrazov_1224,41028,0,single,1,0,1.0,2299.0,136
tamrazov_1224,41028,1,single,1,0,1.0,2422.0,109
tamrazov_1224,41028,0,ens,1,0,1.0,2149.0,131
tamrazov_1224,41029,0,single,1,0,1.0,2270.0,121
tamrazov_1224,41030,0,single,1,0,1.0,2324.0,95
tamrazov_1224,41029,0,ens,1,0,1.0,2962.0,114
tamrazov_1224,41028,1,ens,1,0,1.0,2473.0,139
tamrazov_1224,41029,1,ens,1,0,1.0,2828.0,127
tamrazov_1224,41029,1,single,1,0,1.0,3987.0,106
tamrazov_1224,41030,1,ens,1,0,1.0,2023.0,107
tamrazov_1224,41031,0,ens,1,0,1.0,3120.0,120
tamrazov_1224,41030,1,single,1,0,1.0,2627.0,118
tamrazov_1224,41030,0,ens,1,0,1.0,2064.0,96
tamrazov_1224,41031,0,single,1,0,1.0,3480.0,122
tamrazov_1224,41031,1,single,1,0,1.0,2264.0,109
tamrazov_1224,41032,0,ens,1,0,1.0,3617.0,108
tamrazov_1224,41032,1,ens,1,0,1.0,2109.0,125
tamrazov_1224,41031,1,ens,1,0,1.0,2137.0,118
tamrazov_1224,41033,0,single,1,0,1.0,1879.0,100
tamrazov_1224,41033,0,ens,1,0,1.0,984.0,105
tamrazov_1224,41032,1,single,1,0,1.0,1797.0,146
tamrazov_1224,41033,1,single,1,0,1.0,4312.0,96
tamrazov_1224,41034,0,single,1,0,1.0,2178.0,96
tamrazov_1224,41034,0,ens,1,0,1.0,3223.0,117
tamrazov_1224,41033,1,ens,1,0,1.0,4497.0,131
tamrazov_1224,41032,0,single,1,0,1.0,4878.0,166
tamrazov_1224,41034,1,single,1,0,1.0,1583.0,108
tamrazov_1224,41035,1,ens,1,0,1.0,1110.0,111
tamrazov_1224,41035,0,ens,1,0,1.0,3240.0,90
tamrazov_1224,41036,0,single,1,0,1.0,2106.0,99
tamrazov_1224,41034,1,ens,1,0,1.0,3067.0,102
tamrazov_1224,41035,1,single,1,0,1.0,4074.0,117
tamrazov_1224,41035,0,single,1,0,1.0,1546.0,121
tamrazov_1224,41036,1,single,1,0,1.0,1903.0,112
tamrazov_1224,41036,0,ens,1,0,1.0,3993.0,109
tamrazov_1224,41037,0,single,1,0,1.0,1824.0,98
tamrazov_1224,41037,0,ens,1,0,1.0,2668.0,114
tamrazov_1224,41038,0,single,1,0,1.0,3174.0,112
tamrazov_1224,41037,1,single,1,0,1.0,3935.0,125
tamrazov_1224,41036,1,ens,1,0,1.0,3885.0,100
tamrazov_1224,41038,1,single,1,0,1.0,2982.0,124
tamrazov_1224,41037,1,ens,1,0,1.0,1431.0,99
tamrazov_1224,41038,0,ens,1,0,1.0,2450.0,131
tamrazov_1224,41039,0,ens,1,0,1.0,2860.0,92
tamrazov_1224,41038,1,ens,1,0,1.0,2543.0,94
tamrazov_1224,41039,1,single,1,0,1.0,4318.0,103
tamrazov_1224,41039,1,ens,1,0,1.0,2195.0,104
tamrazov_1224,41039,0,single,1,0,1.0,2718.0,132
tamrazov_1224,41040,0,ens,1,0,1.0,3012.0,97
tamrazov_1224,41040,1,single,1,0,1.0,3738.0,120
tamrazov_1224,41040,0,single,1,0,1.0,2549.0,102
tamrazov_1224,41041,0,single,1,0,1.0,3676.0,98
tamrazov_1224,41040,1,ens,1,0,1.0,3633.0,109
tamrazov_1224,41041,0,ens,1,0,1.0,1988.0,88
tamrazov_1224,41041,1,single,1,0,1.0,3289.0,90
tamrazov_1224,41042,0,single,1,0,1.0,1832.0,105
tamrazov_1224,41042,0,ens,1,0,1.0,3499.0,110
tamrazov_1224,41042,1,ens,1,0,1.0,2017.0,90
tamrazov_1224,41041,1,ens,1,0,1.0,628.0,137
tamrazov_1224,41042,1,single,1,0,1.0,1511.0,113
tamrazov_1224,41043,1,single,1,0,1.0,3626.0,105
tamrazov_1224,41043,0,ens,1,0,1.0,4677.0,111
tamrazov_1224,41044,0,single,1,0,1.0,2676.0,103
tamrazov_1224,41043,1,ens,1,0,1.0,2657.0,117
tamrazov_1224,41044,1,single,1,0,1.0,3147.0,104
tamrazov_1224,41044,1,ens,1,0,1.0,2233.0,100
tamrazov_1224,41044,0,ens,1,0,1.0,4604.0,132
tamrazov_1224,41043,0,single,0,0,-1.0,-1752.0,163
tamrazov_1224,41045,1,ens,1,0,1.0,3443.0,107
tamrazov_1224,41045,0,ens,1,0,1.0,4074.0,124
tamrazov_1224,41045,0,single,1,0,1.0,3501.0,127
tamrazov_1224,41046,1,single,1,0,1.0,1600.0,98
tamrazov_1224,41046,0,single,1,0,1.0,3202.0,118
tamrazov_1224,41045,1,single,1,0,1.0,3079.0,119
tamrazov_1224,41046,1,ens,1,0,1.0,1745.0,148
tamrazov_1224,41046,0,ens,1,0,1.0,4299.0,103
tamrazov_1224,41047,1,single,1,0,1.0,4574.0,116
tamrazov_1224,41048,0,single,1,0,1.0,2731.0,126
tamrazov_1224,41047,0,single,1,0,1.0,4811.0,115
tamrazov_1224,41047,0,ens,1,0,1.0,1681.0,104
tamrazov_1224,41048,0,ens,1,0,1.0,4447.0,134
tamrazov_1224,41047,1,ens,1,0,1.0,3032.0,114
tamrazov_1224,41049,0,ens,1,0,1.0,2162.0,115
tamrazov_1224,41049,0,single,1,0,1.0,3984.0,97
tamrazov_1224,41048,1,single,1,0,1.0,5749.0,139
tamrazov_1224,41049,1,single,1,0,1.0,2730.0,86
tamrazov_1224,41048,1,ens,1,0,1.0,2980.0,140
tamrazov_1224,41049,1,ens,1,0,1.0,5202.0,126
tamrazov_1224,41050,1,single,1,0,1.0,3053.0,107
tamrazov_1224,41050,0,single,1,0,1.0,3001.0,128
tamrazov_1224,41051,0,single,1,0,1.0,1741.0,91
tamrazov_1224,41050,0,ens,1,0,1.0,2843.0,115
tamrazov_1224,41052,0,single,1,0,1.0,1179.0,97
tamrazov_1224,41051,1,single,1,0,1.0,3772.0,117
tamrazov_1224,41051,0,ens,1,0,1.0,1691.0,116
tamrazov_1224,41051,1,ens,1,0,1.0,2053.0,99
