opp,seed,side,variant,win,tie,reward,margin,steps
producer_v2,40000,0,single,1,0,1.0,2109.0,154
producer_v2,40000,0,ens,1,0,1.0,932.0,145
producer_v2,40000,1,ens,0,0,-1.0,-2336.0,168
producer_v2,40001,1,single,0,0,-1.0,-1568.0,221
producer_v2,40001,0,single,0,0,-1.0,-1990.0,257
producer_v2,40000,1,single,0,0,-1.0,-1952.0,236
producer_v2,40001,0,ens,1,0,1.0,1817.0,238
producer_v2,40001,1,ens,1,0,1.0,1652.0,195
producer_v2,40002,0,single,0,0,-1.0,-2368.0,199
producer_v2,40002,0,ens,0,0,-1.0,-2245.0,201
producer_v2,40002,1,single,0,0,-1.0,-1436.0,208
producer_v2,40003,0,ens,1,0,1.0,1240.0,163
producer_v2,40002,1,ens,1,0,1.0,2160.0,178
producer_v2,40003,0,single,1,0,1.0,811.0,340
producer_v2,40004,0,single,0,0,-1.0,-2438.0,146
producer_v2,40003,1,single,1,0,1.0,1600.0,217
producer_v2,40003,1,ens,1,0,1.0,1816.0,189
producer_v2,40004,1,single,1,0,1.0,2114.0,169
producer_v2,40004,1,ens,1,0,1.0,1923.0,183
producer_v2,40005,1,single,0,0,-1.0,-1338.0,138
producer_v2,40005,1,ens,0,0,-1.0,-2148.0,146
producer_v2,40004,0,ens,1,0,1.0,1966.0,268
producer_v2,40005,0,single,1,0,1.0,1004.0,272
producer_v2,40006,0,ens,1,0,1.0,1154.0,180
producer_v2,40006,0,single,0,0,-1.0,-854.0,282
producer_v2,40005,0,ens,1,0,1.0,6751.0,280
producer_v2,40007,0,single,0,0,-1.0,-2218.0,155
producer_v2,40007,0,ens,1,0,1.0,973.0,227
producer_v2,40006,1,single,1,0,1.0,1401.0,330
producer_v2,40007,1,single,1,0,1.0,1228.0,155
producer_v2,40008,0,single,0,0,-1.0,-2666.0,155
producer_v2,40007,1,ens,0,0,-1.0,-2032.0,185
producer_v2,40008,0,ens,0,0,-1.0,-2015.0,175
producer_v2,40009,0,single,0,0,-1.0,-2739.0,127
producer_v2,40008,1,single,0,0,-1.0,-1656.0,186
producer_v2,40009,1,single,0,0,-1.0,-1351.0,116
producer_v2,40009,0,ens,1,0,1.0,1228.0,172
producer_v2,40008,1,ens,0,0,-1.0,-1144.0,155
producer_v2,40006,1,ens,0,0,-1.0,-1000.0,465
producer_v2,40010,1,single,0,0,-1.0,-1185.0,139
producer_v2,40010,0,single,0,0,-1.0,-2137.0,181
producer_v2,40009,1,ens,1,0,1.0,1868.0,220
producer_v2,40010,1,ens,1,0,1.0,1841.0,149
producer_v2,40010,0,ens,0,0,-1.0,-1302.0,192
producer_v2,40011,0,ens,0,0,-1.0,-1558.0,138
producer_v2,40011,0,single,1,0,1.0,2187.0,194
producer_v2,40012,0,single,1,0,1.0,2238.0,168
producer_v2,40011,1,single,1,0,1.0,1023.0,226
producer_v2,40013,0,single,0,0,-1.0,-740.0,131
producer_v2,40011,1,ens,1,0,1.0,3012.0,195
producer_v2,40012,0,ens,1,0,1.0,2801.0,183
producer_v2,40013,1,ens,0,0,-1.0,-2196.0,135
producer_v2,40012,1,ens,0,0,-1.0,-932.0,268
producer_v2,40013,0,ens,1,0,1.0,1315.0,251
producer_v2,40014,0,single,0,0,-1.0,-1196.0,212
producer_v2,40013,1,single,1,0,1.0,874.0,265
producer_v2,40012,1,single,0,0,-1.0,-111.0,499
producer_v2,40014,1,ens,1,0,1.0,1486.0,140
producer_v2,40014,1,single,0,0,-1.0,-1376.0,131
producer_v2,40014,0,ens,1,0,1.0,1925.0,194
producer_v2,40015,1,single,1,0,1.0,742.0,138
producer_v2,40015,0,ens,1,0,1.0,1502.0,156
producer_v2,40015,1,ens,0,0,-1.0,-2162.0,142
producer_v2,40016,0,single,0,0,-1.0,-1675.0,176
producer_v2,40015,0,single,0,0,-1.0,-1049.0,209
producer_v2,40016,0,ens,0,0,-1.0,-1554.0,206
producer_v2,40016,1,ens,1,0,1.0,2170.0,180
producer_v2,40017,1,single,0,0,-1.0,-1761.0,160
producer_v2,40016,1,single,0,0,-1.0,-1619.0,286
producer_v2,40017,0,single,1,0,1.0,1464.0,198
producer_v2,40017,0,ens,1,0,1.0,2264.0,177
producer_v2,40017,1,ens,0,0,-1.0,-2098.0,204
producer_v2,40019,0,ens,1,0,1.0,2140.0,161
producer_v2,40018,1,ens,0,0,-1.0,-1399.0,223
producer_v2,40018,0,single,0,0,-1.0,-834.0,412
producer_v2,40019,1,single,1,0,1.0,1257.0,318
producer_v2,40020,0,single,0,0,-1.0,-2024.0,183
producer_v2,40019,1,ens,1,0,1.0,1954.0,215
producer_v2,40020,0,ens,1,0,1.0,2100.0,169
producer_v2,40018,0,ens,0,0,-1.0,-931.0,499
producer_v2,40018,1,single,1,0,1.0,11.0,499
producer_v2,40019,0,single,1,0,1.0,26.0,499
producer_v2,40020,1,single,0,0,-1.0,-1544.0,125
producer_v2,40021,0,ens,1,0,1.0,1325.0,136
