triple,seed,variant,rank,reward,score,steps
mixed,30000,sr1,2,-1.0,0.0,123
mixed,30001,off,2,-1.0,0.0,98
mixed,30001,cw2,2,-1.0,0.0,150
mixed,30000,off,2,-1.0,0.0,137
mixed,30000,cw2,2,-1.0,0.0,142
mixed,30001,sr2,2,-1.0,0.0,104
mixed,30000,sr2,2,-1.0,0.0,164
mixed,30002,cw2,2,-1.0,0.0,154
mixed,30003,off,2,-1.0,0.0,124
mixed,30002,sr2,2,-1.0,0.0,125
mixed,30002,sr1,2,-1.0,0.0,128
mixed,30001,sr1,1,1.0,9604.0,499
mixed,30003,cw2,2,-1.0,0.0,137
mixed,30003,sr2,2,-1.0,0.0,150
mixed,30004,cw2,2,-1.0,0.0,97
mixed,30002,off,3,-1.0,0.0,499
mixed,30004,sr1,2,-1.0,0.0,162
mixed,30004,sr2,1,1.0,1500.0,214
mixed,30004,off,2,-1.0,0.0,201
mixed,30003,sr1,1,1.0,3845.0,221
mixed,30005,cw2,2,-1.0,0.0,118
mixed,30005,sr1,2,-1.0,0.0,84
mixed,30005,sr2,2,-1.0,0.0,118
mixed,30005,off,2,-1.0,0.0,224
mixed,30006,off,2,-1.0,0.0,121
mixed,30006,cw2,2,-1.0,0.0,105
mixed,30007,off,2,-1.0,0.0,119
mixed,30006,sr2,2,-1.0,0.0,129
mixed,30008,off,1,1.0,2157.0,135
mixed,30006,sr1,2,-1.0,0.0,304
mixed,30008,cw2,2,-1.0,0.0,224
mixed,30007,sr2,2,-1.0,0.0,233
mixed,30009,off,2,-1.0,0.0,116
mixed,30007,cw2,3,-1.0,0.0,499
mixed,30008,sr2,2,-1.0,0.0,143
mixed,30009,sr1,2,-1.0,0.0,126
mixed,30007,sr1,2,-1.0,132.0,499
mixed,30009,cw2,2,-1.0,0.0,203
mixed,30008,sr1,1,1.0,14841.0,499
mixed,30010,off,2,-1.0,0.0,174
mixed,30010,sr1,2,-1.0,0.0,136
mixed,30011,off,2,-1.0,0.0,97
mixed,30010,sr2,2,-1.0,0.0,123
mixed,30011,cw2,2,-1.0,0.0,142
mixed,30011,sr2,2,-1.0,0.0,91
mixed,30011,sr1,1,1.0,1750.0,193
mixed,30013,off,2,-1.0,0.0,111
mixed,30012,cw2,2,-1.0,0.0,123
mixed,30009,sr2,3,-1.0,0.0,499
mixed,30012,sr1,2,-1.0,0.0,203
mixed,30013,cw2,2,-1.0,0.0,91
mixed,30010,cw2,3,-1.0,0.0,499
mixed,30014,cw2,2,-1.0,0.0,88
mixed,30012,off,2,-1.0,40.0,499
mixed,30012,sr2,1,1.0,2174.0,198
mixed,30014,off,2,-1.0,0.0,247
mixed,30014,sr1,2,-1.0,0.0,137
mixed,30013,sr2,2,-1.0,0.0,153
mixed,30015,cw2,2,-1.0,0.0,113
mixed,30015,off,2,-1.0,0.0,139
mixed,30013,sr1,2,-1.0,0.0,172
mixed,30014,sr2,2,-1.0,0.0,134
mixed,30015,sr2,2,-1.0,0.0,149
mixed,30016,sr1,2,-1.0,0.0,82
mixed,30015,sr1,1,1.0,1339.0,243
mixed,30016,sr2,2,-1.0,0.0,133
mixed,30016,cw2,2,-1.0,0.0,173
mixed,30016,off,2,-1.0,0.0,140
mixed,30017,sr1,2,-1.0,0.0,125
mixed,30018,cw2,2,-1.0,0.0,96
mixed,30017,cw2,2,-1.0,0.0,155
mixed,30017,sr2,1,1.0,1836.0,179
mixed,30018,off,2,-1.0,0.0,235
mixed,30018,sr2,1,1.0,1769.0,123
mixed,30019,cw2,2,-1.0,0.0,142
mixed,30019,off,2,-1.0,0.0,156
mixed,30018,sr1,2,-1.0,0.0,161
mixed,30017,off,3,-1.0,58.0,499
mixed,30019,sr1,2,-1.0,0.0,213
mixed,30019,sr2,2,-1.0,0.0,169
mixed,30021,off,2,-1.0,0.0,151
mixed,30020,sr2,2,-1.0,0.0,169
mixed,30021,cw2,2,-1.0,0.0,136
mixed,30021,sr1,2,-1.0,0.0,121
mixed,30020,sr1,2,-1.0,0.0,163
mixed,30021,sr2,2,-1.0,0.0,173
mixed,30020,cw2,1,1.0,2595.0,156
mixed,30022,off,1,1.0,1309.0,196
mixed,30020,off,2,-1.0,57.0,499
mixed,30022,sr2,2,-1.0,0.0,155
mixed,30022,sr1,1,1.0,2438.0,135
mixed,30023,cw2,1,1.0,1834.0,122
mixed,30023,off,2,-1.0,0.0,164
mixed,30022,cw2,2,-1.0,0.0,196
mixed,30023,sr1,2,-1.0,0.0,156
mixed,30024,sr1,2,-1.0,0.0,98
mixed,30024,off,2,-1.0,0.0,117
mixed,30023,sr2,2,-1.0,0.0,235
mixed,30026,off,2,-1.0,0.0,118
mixed,30025,cw2,2,-1.0,0.0,118
mixed,30025,off,2,-1.0,0.0,247
mixed,30025,sr1,2,-1.0,0.0,182
mixed,30025,sr2,2,-1.0,0.0,228
mixed,30024,cw2,3,-1.0,0.0,499
mixed,30026,sr1,2,-1.0,0.0,88
mixed,30026,cw2,2,-1.0,0.0,156
mixed,30024,sr2,3,-1.0,0.0,499
