triple,seed,variant,rank,reward,score,steps
mixed,31001,off,2,-1.0,0.0,76
mixed,31002,sr1,2,-1.0,0.0,111
mixed,31000,off,2,-1.0,0.0,146
mixed,31001,sr1,2,-1.0,0.0,162
mixed,31003,off,2,-1.0,0.0,183
mixed,31000,sr1,2,-1.0,0.0,146
mixed,31003,sr1,2,-1.0,0.0,149
mixed,31005,off,2,-1.0,0.0,110
mixed,31002,off,2,-1.0,0.0,181
mixed,31004,sr1,1,1.0,1891.0,164
mixed,31005,sr1,2,-1.0,0.0,120
mixed,31004,off,2,-1.0,0.0,190
mixed,31006,off,2,-1.0,0.0,164
mixed,31008,off,2,-1.0,0.0,151
mixed,31006,sr1,2,-1.0,0.0,182
mixed,31009,off,2,-1.0,0.0,184
mixed,31008,sr1,2,-1.0,0.0,208
mixed,31011,off,2,-1.0,0.0,144
mixed,31010,off,2,-1.0,0.0,218
mixed,31011,sr1,2,-1.0,0.0,169
mixed,31007,off,3,-1.0,0.0,499
mixed,31007,sr1,3,-1.0,0.0,499
mixed,31010,sr1,2,-1.0,0.0,405
mixed,31009,sr1,2,-1.0,57.0,499
mixed,31012,sr1,2,-1.0,0.0,174
mixed,31013,off,2,-1.0,0.0,156
mixed,31012,off,2,-1.0,300.0,499
mixed,31014,off,1,1.0,3023.0,235
mixed,31013,sr1,2,-1.0,0.0,185
mixed,31014,sr1,2,-1.0,0.0,178
mixed,31015,off,2,-1.0,0.0,156
mixed,31017,off,2,-1.0,0.0,144
mixed,31016,sr1,2,-1.0,0.0,128
mixed,31015,sr1,2,-1.0,0.0,195
mixed,31016,off,2,-1.0,0.0,254
mixed,31018,sr1,1,1.0,2136.0,192
mixed,31017,sr1,2,-1.0,0.0,153
mixed,31019,sr1,2,-1.0,0.0,124
mixed,31019,off,2,-1.0,0.0,113
mixed,31018,off,2,-1.0,0.0,188
mixed,31020,off,2,-1.0,0.0,155
mixed,31021,off,2,-1.0,0.0,141
mixed,31022,sr1,2,-1.0,0.0,89
mixed,31023,off,2,-1.0,0.0,133
mixed,31022,off,2,-1.0,0.0,119
mixed,31020,sr1,2,-1.0,0.0,170
mixed,31021,sr1,2,-1.0,0.0,138
mixed,31024,sr1,2,-1.0,0.0,111
mixed,31023,sr1,2,-1.0,0.0,167
mixed,31025,off,2,-1.0,0.0,170
mixed,31027,off,1,1.0,849.0,198
mixed,31025,sr1,2,-1.0,0.0,129
mixed,31028,off,2,-1.0,0.0,124
mixed,31026,off,2,-1.0,0.0,213
mixed,31024,off,3,-1.0,0.0,499
mixed,31028,sr1,2,-1.0,0.0,127
mixed,31030,off,2,-1.0,0.0,116
mixed,31027,sr1,2,-1.0,720.0,499
mixed,31031,off,2,-1.0,0.0,140
mixed,31026,sr1,2,-1.0,0.0,282
mixed,31029,sr1,1,1.0,1418.0,312
mixed,31029,off,2,-1.0,0.0,189
