agent_0,agent_1,agent_2,agent_3,seed,rot,reward_0,score_0,rank_0,status_0,reward_1,score_1,rank_1,status_1,reward_2,score_2,rank_2,status_2,reward_3,score_3,rank_3,status_3,steps,seconds
v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,v5,v5_ffa_leader_attack_bonus0,20002,2,1.0,2722.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,411,50.8
v5,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,20000,0,-1.0,398.0,2,DONE,-1.0,0.0,4,DONE,1.0,480.0,1,DONE,-1.0,246.0,3,DONE,499,74.3
v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,producer,v5,20001,1,-1.0,142.0,3,DONE,1.0,338.0,1,DONE,-1.0,142.0,3,DONE,1.0,338.0,1,DONE,499,73.1
v5_ffa_leader_attack_bonus0.15,producer,v5,v5_ffa_leader_attack_bonus0,20002,2,1.0,2940.0,1,DONE,1.0,2940.0,1,DONE,1.0,2940.0,1,DONE,1.0,2940.0,1,DONE,499,57.4
v5_ffa_leader_attack_bonus0.5,v5,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,20003,3,1.0,207.0,1,DONE,1.0,207.0,1,DONE,1.0,207.0,1,DONE,1.0,207.0,1,DONE,499,114.5
v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,v5,20001,1,1.0,224.0,1,DONE,1.0,224.0,1,DONE,1.0,224.0,1,DONE,1.0,224.0,1,DONE,499,116.3
v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,tamrazov_1224,v5,20001,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,1619.0,1,DONE,130,22.7
v5,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,producer,20000,0,1.0,460.0,1,DONE,1.0,460.0,1,DONE,1.0,460.0,1,DONE,1.0,460.0,1,DONE,499,131.5
v5,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,tamrazov_1224,20000,0,-1.0,28.0,2,DONE,1.0,15327.0,1,DONE,-1.0,0.0,3,DONE,-1.0,0.0,3,DONE,499,69.3
v5_ffa_leader_attack_bonus0.15,tamrazov_1224,v5,v5_ffa_leader_attack_bonus0,20002,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,4701.0,1,DONE,217,51.1
tamrazov_1224,v5,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,20003,3,-1.0,0.0,2,DONE,1.0,3119.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,171,51.7
v5,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.5,producer,20000,0,-1.0,82.0,3,DONE,-1.0,82.0,3,DONE,1.0,122.0,1,DONE,1.0,122.0,1,DONE,499,73.9
v5,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.5,tamrazov_1224,20000,0,-1.0,0.0,2,DONE,1.0,2044.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,144,49.8
producer,v5,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,20003,3,-1.0,203.0,4,DONE,1.0,243.0,1,DONE,1.0,243.0,1,DONE,1.0,243.0,1,DONE,499,149.7
v5_ffa_leader_attack_bonus0.5,producer,v5,v5_ffa_leader_attack_bonus0,20002,2,1.0,337.0,1,DONE,-1.0,219.0,4,DONE,1.0,337.0,1,DONE,-1.0,227.0,3,DONE,499,84.8
v5,v5_ffa_leader_attack_bonus0,producer,tamrazov_1224,20000,0,-1.0,0.0,2,DONE,1.0,2982.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,126,28.4
tamrazov_1224,v5,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.5,20003,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,3557.0,1,DONE,-1.0,0.0,2,DONE,111,35.2
producer,v5,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.5,20003,3,1.0,204.0,1,DONE,-1.0,196.0,2,DONE,-1.0,182.0,3,DONE,-1.0,182.0,3,DONE,499,97.1
v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.5,producer,v5,20001,1,1.0,207.0,1,DONE,-1.0,101.0,4,DONE,-1.0,140.0,3,DONE,-1.0,154.0,2,DONE,499,139.2
v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.5,tamrazov_1224,v5,20001,1,1.0,14832.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,387,63.9
v5_ffa_leader_attack_bonus0.5,tamrazov_1224,v5,v5_ffa_leader_attack_bonus0,20002,2,-1.0,76.0,2,DONE,-1.0,0.0,3,DONE,-1.0,0.0,3,DONE,1.0,25613.0,1,DONE,499,94.5
v5_ffa_leader_attack_bonus0,producer,tamrazov_1224,v5,20001,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,4132.0,1,DONE,246,80.3
producer,tamrazov_1224,v5,v5_ffa_leader_attack_bonus0,20002,2,1.0,3234.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,193,72.6
tamrazov_1224,v5,v5_ffa_leader_attack_bonus0,producer,20003,3,-1.0,0.0,3,DONE,-1.0,0.0,3,DONE,1.0,3928.0,1,DONE,-1.0,155.0,2,DONE,499,91.9
v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,producer,v5,20001,1,1.0,162.0,1,DONE,1.0,162.0,1,DONE,1.0,162.0,1,DONE,1.0,162.0,1,DONE,499,96.1
v5,v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,producer,20000,0,-1.0,120.0,3,DONE,-1.0,121.0,2,DONE,-1.0,120.0,3,DONE,1.0,123.0,1,DONE,499,107.0
v5_ffa_leader_attack_bonus0.5,tamrazov_1224,v5,v5_ffa_leader_attack_bonus0.15,20002,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,1734.0,1,DONE,93,31.1
v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,tamrazov_1224,v5,20001,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2864.0,1,DONE,182,43.6
v5_ffa_leader_attack_bonus0.15,producer,tamrazov_1224,v5,20001,1,1.0,725.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,104,16.3
v5,v5_ffa_leader_attack_bonus0.15,producer,tamrazov_1224,20000,0,-1.0,0.0,2,DONE,1.0,1633.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,99,27.8
producer,v5,v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,20003,3,-1.0,205.0,4,DONE,-1.0,227.0,3,DONE,1.0,231.0,1,DONE,1.0,231.0,1,DONE,499,101.1
tamrazov_1224,v5,v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,20003,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2930.0,1,DONE,-1.0,0.0,2,DONE,183,74.2
v5_ffa_leader_attack_bonus0.5,producer,v5,v5_ffa_leader_attack_bonus0.15,20002,2,1.0,56.0,1,DONE,1.0,56.0,1,DONE,1.0,56.0,1,DONE,1.0,56.0,1,DONE,499,123.7
producer,tamrazov_1224,v5,v5_ffa_leader_attack_bonus0.15,20002,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2403.0,1,DONE,160,28.2
v5,v5_ffa_leader_attack_bonus0.5,producer,tamrazov_1224,20000,0,-1.0,0.0,2,DONE,1.0,3153.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,187,28.7
v5,v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,tamrazov_1224,20000,0,-1.0,0.0,3,DONE,-1.0,34.0,2,DONE,1.0,18248.0,1,DONE,-1.0,0.0,3,DONE,499,115.9
tamrazov_1224,v5,v5_ffa_leader_attack_bonus0.15,producer,20003,3,-1.0,0.0,2,DONE,1.0,3173.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,170,45.0
v5_ffa_leader_attack_bonus0.5,producer,tamrazov_1224,v5,20001,1,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,907.0,1,DONE,280,60.7
tamrazov_1224,v5,v5_ffa_leader_attack_bonus0.5,producer,20003,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2212.0,1,DONE,-1.0,0.0,2,DONE,143,55.7
producer,tamrazov_1224,v5,v5_ffa_leader_attack_bonus0.5,20002,2,1.0,3243.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,213,80.7
v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,producer,20000,0,-1.0,239.0,2,DONE,-1.0,235.0,3,DONE,1.0,254.0,1,DONE,-1.0,180.0,4,DONE,499,93.4
v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,producer,v5_ffa_leader_attack_bonus0,20001,1,-1.0,152.0,3,DONE,1.0,220.0,1,DONE,-1.0,132.0,4,DONE,-1.0,218.0,2,DONE,499,97.6
v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,tamrazov_1224,20000,0,-1.0,0.0,2,DONE,1.0,3405.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,250,57.7
v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,tamrazov_1224,v5_ffa_leader_attack_bonus0,20001,1,1.0,3131.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,135,45.6
v5_ffa_leader_attack_bonus0.5,tamrazov_1224,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,20002,2,1.0,1753.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,151,29.5
v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,producer,tamrazov_1224,20000,0,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2650.0,1,DONE,-1.0,0.0,2,DONE,154,32.6
tamrazov_1224,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,20003,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,3667.0,1,DONE,-1.0,0.0,2,DONE,139,52.3
v5_ffa_leader_attack_bonus0.5,producer,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,20002,2,1.0,531.0,1,DONE,1.0,531.0,1,DONE,1.0,531.0,1,DONE,1.0,531.0,1,DONE,499,131.7
tamrazov_1224,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,producer,20003,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2030.0,1,DONE,-1.0,0.0,2,DONE,132,20.2
v5_ffa_leader_attack_bonus0.15,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0,20001,1,-1.0,0.0,2,DONE,1.0,1910.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,187,51.3
producer,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,20003,3,-1.0,129.0,4,DONE,1.0,170.0,1,DONE,-1.0,137.0,3,DONE,1.0,170.0,1,DONE,499,134.0
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.15,20002,2,1.0,2920.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,372,54.4
v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.5,producer,tamrazov_1224,20000,0,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2594.0,1,DONE,-1.0,0.0,2,DONE,173,37.1
v5_ffa_leader_attack_bonus0.5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0,20001,1,1.0,2795.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,142,49.8
v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,producer,tamrazov_1224,20000,0,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,2606.0,1,DONE,-1.0,0.0,2,DONE,171,35.4
tamrazov_1224,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.5,producer,20003,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,3100.0,1,DONE,-1.0,0.0,2,DONE,167,43.0
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0,v5_ffa_leader_attack_bonus0.5,20002,2,1.0,1701.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,231,54.0
tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,producer,20003,3,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,1780.0,1,DONE,-1.0,0.0,2,DONE,117,23.0
producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,v5_ffa_leader_attack_bonus0.5,20002,2,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,1.0,1682.0,1,DONE,150,26.6
v5_ffa_leader_attack_bonus0.5,producer,tamrazov_1224,v5_ffa_leader_attack_bonus0.15,20001,1,-1.0,0.0,2,DONE,1.0,3077.0,1,DONE,-1.0,0.0,2,DONE,-1.0,0.0,2,DONE,404,55.5
