agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5_roi_threshold1.2,producer,20003,1,a,1,-1,DONE,DONE,174,10.2
v5_roi_threshold1.2,producer,20001,1,b,-1,1,DONE,DONE,145,14.5
v5_roi_threshold1.2,producer,20002,0,a,1,-1,DONE,DONE,280,17.0
v5_roi_threshold1.2,producer,20005,1,a,1,-1,DONE,DONE,200,23.5
v5_roi_threshold1.2,producer,20006,0,b,-1,1,DONE,DONE,172,15.5
v5_roi_threshold1.2,producer,20004,0,b,-1,1,DONE,DONE,203,27.7
v5_roi_threshold1.2,producer,20000,0,a,1,-1,DONE,DONE,253,32.1
v5_roi_threshold1.2,producer,20007,1,b,-1,1,DONE,DONE,153,28.9
v5_roi_threshold1.2,producer,20010,0,a,1,-1,DONE,DONE,121,18.7
v5_roi_threshold1.2,producer,20008,0,b,-1,1,DONE,DONE,227,28.5
v5_roi_threshold1.2,producer,20011,1,b,-1,1,DONE,DONE,184,24.5
v5_roi_threshold1.2,producer,20009,1,a,1,-1,DONE,DONE,210,34.4
v5_roi_threshold1.2,producer,20014,0,a,1,-1,DONE,DONE,178,21.9
v5_roi_threshold1.2,producer,20015,1,a,1,-1,DONE,DONE,202,23.3
v5_roi_threshold1.2,producer,20012,0,b,-1,1,DONE,DONE,217,39.3
v5_roi_threshold1.2,producer,20013,1,a,1,-1,DONE,DONE,155,30.7
v5_roi_threshold1.2,producer,20021,1,a,1,-1,DONE,DONE,185,18.8
v5_roi_threshold1.2,producer,20020,0,b,-1,1,DONE,DONE,252,27.8
v5_roi_threshold1.2,producer,20016,0,a,1,-1,DONE,DONE,299,51.6
v5_roi_threshold1.2,producer,20019,1,a,1,-1,DONE,DONE,177,30.9
v5_roi_threshold1.2,producer,20018,0,a,1,-1,DONE,DONE,499,59.7
v5_roi_threshold1.2,producer,20017,1,b,-1,1,DONE,DONE,499,90.7
v5_roi_threshold1.2,producer,20022,0,a,1,-1,DONE,DONE,499,55.9
v5_roi_threshold1.2,producer,20024,0,tie,1,1,DONE,DONE,499,60.1
v5_roi_threshold1.2,producer,20023,1,a,1,-1,DONE,DONE,470,66.6
v5_roi_threshold1.2,producer,20026,0,a,1,-1,DONE,DONE,178,30.4
v5_roi_threshold1.2,producer,20028,0,a,1,-1,DONE,DONE,165,17.2
v5_roi_threshold1.2,producer,20027,1,a,1,-1,DONE,DONE,281,36.1
v5_roi_threshold1.2,producer,20025,1,a,1,-1,DONE,DONE,499,80.6
v5_roi_threshold1.2,producer,20032,0,a,1,-1,DONE,DONE,131,16.7
v5_roi_threshold1.2,producer,20034,0,b,-1,1,DONE,DONE,125,12.9
v5_roi_threshold1.2,producer,20031,1,b,-1,1,DONE,DONE,284,33.9
v5_roi_threshold1.2,producer,20030,0,a,1,-1,DONE,DONE,213,33.5
v5_roi_threshold1.2,producer,20035,1,b,-1,1,DONE,DONE,151,29.0
v5_roi_threshold1.2,producer,20033,1,a,1,-1,DONE,DONE,168,26.9
v5_roi_threshold1.2,producer,20038,0,b,-1,1,DONE,DONE,121,15.1
v5_roi_threshold1.2,producer,20040,0,a,1,-1,DONE,DONE,135,14.4
v5_roi_threshold1.2,producer,20029,1,a,1,-1,DONE,DONE,499,68.0
v5_roi_threshold1.2,producer,20037,1,b,-1,1,DONE,DONE,285,49.1
v5_roi_threshold1.2,producer,20042,0,a,1,-1,DONE,DONE,212,19.8
v5_roi_threshold1.2,producer,20039,1,a,1,-1,DONE,DONE,142,24.6
v5_roi_threshold1.2,producer,20036,0,tie,1,1,DONE,DONE,499,61.6
v5_roi_threshold1.2,producer,20045,1,a,1,-1,DONE,DONE,149,13.7
v5_roi_threshold1.2,producer,20043,1,b,-1,1,DONE,DONE,188,33.4
v5_roi_threshold1.2,producer,20044,0,a,1,-1,DONE,DONE,208,30.8
v5_roi_threshold1.2,producer,20047,1,a,1,-1,DONE,DONE,131,14.1
v5_roi_threshold1.2,producer,20041,1,b,-1,1,DONE,DONE,499,65.0
v5_roi_threshold1.2,producer,20046,0,b,-1,1,DONE,DONE,289,39.7
v5_roi_threshold1.2,producer,20049,1,b,-1,1,DONE,DONE,344,25.2
v5_roi_threshold1.2,producer,20052,0,b,-1,1,DONE,DONE,161,21.4
v5_roi_threshold1.2,producer,20054,0,b,-1,1,DONE,DONE,188,14.0
v5_roi_threshold1.2,producer,20051,1,a,1,-1,DONE,DONE,421,29.7
v5_roi_threshold1.2,producer,20048,0,a,1,-1,DONE,DONE,481,49.3
v5_roi_threshold1.2,producer,20053,1,b,-1,1,DONE,DONE,318,33.2
v5_roi_threshold1.2,producer,20058,0,b,-1,1,DONE,DONE,205,16.1
v5_roi_threshold1.2,producer,20050,0,b,-1,1,DONE,DONE,499,64.7
v5_roi_threshold1.2,producer,20055,1,tie,1,1,DONE,DONE,499,48.4
v5_roi_threshold1.2,producer,20056,0,a,1,-1,DONE,DONE,349,47.3
v5_roi_threshold1.2,producer,20057,1,tie,1,1,DONE,DONE,499,55.2
v5_roi_threshold1.2,producer,20059,1,b,-1,1,DONE,DONE,499,42.8
v5_roi_threshold1.8,producer,20001,1,b,-1,1,DONE,DONE,123,13.5
v5_roi_threshold1.8,producer,20000,0,b,-1,1,DONE,DONE,149,27.9
v5_roi_threshold1.8,producer,20006,0,b,-1,1,DONE,DONE,212,22.3
v5_roi_threshold1.8,producer,20002,0,b,-1,1,DONE,DONE,200,40.5
v5_roi_threshold1.8,producer,20005,1,b,-1,1,DONE,DONE,203,43.6
v5_roi_threshold1.8,producer,20004,0,a,1,-1,DONE,DONE,499,50.4
v5_roi_threshold1.8,producer,20003,1,a,1,-1,DONE,DONE,281,50.2
v5_roi_threshold1.8,producer,20008,0,a,1,-1,DONE,DONE,228,21.7
v5_roi_threshold1.8,producer,20013,1,b,-1,1,DONE,DONE,152,14.1
v5_roi_threshold1.8,producer,20011,1,a,1,-1,DONE,DONE,217,24.7
v5_roi_threshold1.8,producer,20012,0,b,-1,1,DONE,DONE,162,33.5
v5_roi_threshold1.8,producer,20007,1,b,-1,1,DONE,DONE,499,68.7
v5_roi_threshold1.8,producer,20015,1,a,1,-1,DONE,DONE,180,20.9
v5_roi_threshold1.8,producer,20009,1,a,1,-1,DONE,DONE,332,61.1
v5_roi_threshold1.8,producer,20016,0,a,1,-1,DONE,DONE,145,28.3
v5_roi_threshold1.8,producer,20018,0,a,1,-1,DONE,DONE,198,21.2
v5_roi_threshold1.8,producer,20017,1,b,-1,1,DONE,DONE,234,26.5
v5_roi_threshold1.8,producer,20014,0,a,1,-1,DONE,DONE,201,34.5
v5_roi_threshold1.8,producer,20010,0,b,-1,1,DONE,DONE,499,76.7
v5_roi_threshold1.8,producer,20022,0,a,1,-1,DONE,DONE,176,18.7
v5_roi_threshold1.8,producer,20019,1,b,-1,1,DONE,DONE,247,44.5
v5_roi_threshold1.8,producer,20024,0,a,1,-1,DONE,DONE,251,28.6
v5_roi_threshold1.8,producer,20025,1,b,-1,1,DONE,DONE,200,21.3
v5_roi_threshold1.8,producer,20021,1,a,1,-1,DONE,DONE,249,44.1
v5_roi_threshold1.8,producer,20026,0,b,-1,1,DONE,DONE,164,27.9
v5_roi_threshold1.8,producer,20028,0,a,1,-1,DONE,DONE,97,12.6
v5_roi_threshold1.8,producer,20023,1,b,-1,1,DONE,DONE,215,40.6
v5_roi_threshold1.8,producer,20027,1,b,-1,1,DONE,DONE,267,31.5
v5_roi_threshold1.8,producer,20020,0,tie,1,1,DONE,DONE,499,77.7
v5_roi_threshold1.8,producer,20030,0,a,1,-1,DONE,DONE,225,23.7
