agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5v_t0.4,v5,20000,0,a,1,-1,DONE,DONE,133,15.8
v5v_t0.4,v5,20005,1,b,-1,1,DONE,DONE,133,13.8
v5v_t0.4,v5,20001,1,b,-1,1,DONE,DONE,199,29.6
v5v_t0.4,v5,20004,0,a,1,-1,DONE,DONE,123,22.0
v5v_t0.4,v5,20003,1,b,-1,1,DONE,DONE,127,24.2
v5v_t0.4,v5,20002,0,b,-1,1,DONE,DONE,191,26.1
v5v_t0.4,v5,20006,0,b,-1,1,DONE,DONE,113,20.0
v5v_t0.4,v5,20007,1,b,-1,1,DONE,DONE,202,28.1
v5v_t0.4,v5,20009,1,b,-1,1,DONE,DONE,128,20.5
v5v_t0.4,v5,20010,0,b,-1,1,DONE,DONE,118,19.4
v5v_t0.4,v5,20012,0,a,1,-1,DONE,DONE,125,19.7
v5v_t0.4,v5,20011,1,a,1,-1,DONE,DONE,136,20.3
v5v_t0.4,v5,20013,1,b,-1,1,DONE,DONE,122,20.5
v5v_t0.4,v5,20008,0,b,-1,1,DONE,DONE,238,37.1
v5v_t0.4,v5,20016,0,b,-1,1,DONE,DONE,120,14.0
v5v_t0.4,v5,20015,1,b,-1,1,DONE,DONE,116,20.0
v5v_t0.4,v5,20018,0,a,1,-1,DONE,DONE,123,15.2
v5v_t0.4,v5,20014,0,a,1,-1,DONE,DONE,166,30.7
v5v_t0.4,v5,20021,1,b,-1,1,DONE,DONE,100,14.4
v5v_t0.4,v5,20019,1,b,-1,1,DONE,DONE,126,23.2
v5v_t0.4,v5,20020,0,a,1,-1,DONE,DONE,126,14.4
v5v_t0.4,v5,20017,1,b,-1,1,DONE,DONE,336,45.5
v5v_t0.4,v5,20023,1,a,1,-1,DONE,DONE,128,21.9
v5v_t0.4,v5,20024,0,b,-1,1,DONE,DONE,142,24.8
v5v_t0.4,v5,20022,0,a,1,-1,DONE,DONE,197,27.0
v5v_t0.4,v5,20026,0,a,1,-1,DONE,DONE,150,22.4
v5v_t0.4,v5,20027,1,b,-1,1,DONE,DONE,240,25.0
v5v_t0.4,v5,20031,1,b,-1,1,DONE,DONE,106,12.3
v5v_t0.4,v5,20025,1,a,1,-1,DONE,DONE,176,35.1
v5v_t0.4,v5,20029,1,b,-1,1,DONE,DONE,149,26.9
v5v_t0.4,v5,20033,1,b,-1,1,DONE,DONE,120,14.2
v5v_t0.4,v5,20030,0,a,1,-1,DONE,DONE,122,19.6
v5v_t0.4,v5,20028,0,b,-1,1,DONE,DONE,182,30.1
v5v_t0.4,v5,20032,0,b,-1,1,DONE,DONE,144,21.1
v5v_t0.4,v5,20034,0,b,-1,1,DONE,DONE,147,19.0
v5v_t0.4,v5,20040,0,b,-1,1,DONE,DONE,136,15.7
v5v_t0.4,v5,20037,1,b,-1,1,DONE,DONE,138,26.2
v5v_t0.4,v5,20035,1,a,1,-1,DONE,DONE,222,35.1
v5v_t0.4,v5,20039,1,b,-1,1,DONE,DONE,133,24.9
v5v_t0.4,v5,20036,0,b,-1,1,DONE,DONE,285,35.3
v5v_t0.4,v5,20041,1,a,1,-1,DONE,DONE,108,13.1
v5v_t0.4,v5,20038,0,b,-1,1,DONE,DONE,184,33.5
v5v_t0.4,v5,20043,1,a,1,-1,DONE,DONE,137,19.0
v5v_t0.4,v5,20042,0,b,-1,1,DONE,DONE,150,22.5
v5v_t0.4,v5,20045,1,a,1,-1,DONE,DONE,125,14.6
v5v_t0.4,v5,20044,0,b,-1,1,DONE,DONE,148,26.9
v5v_t0.4,v5,20046,0,b,-1,1,DONE,DONE,149,18.2
v5v_t0.4,v5,20048,0,b,-1,1,DONE,DONE,102,21.3
v5v_t0.4,v5,20049,1,a,1,-1,DONE,DONE,148,23.4
v5v_t0.4,v5,20047,1,a,1,-1,DONE,DONE,191,31.0
v5v_t0.4,v5,20050,0,b,-1,1,DONE,DONE,154,20.6
v5v_t0.4,v5,20052,0,b,-1,1,DONE,DONE,186,22.2
v5v_t0.4,v5,20056,0,b,-1,1,DONE,DONE,107,12.6
v5v_t0.4,v5,20055,1,b,-1,1,DONE,DONE,168,27.3
v5v_t0.4,v5,20058,0,a,1,-1,DONE,DONE,127,12.5
v5v_t0.4,v5,20054,0,b,-1,1,DONE,DONE,117,21.7
v5v_t0.4,v5,20057,1,b,-1,1,DONE,DONE,182,20.9
v5v_t0.4,v5,20051,1,b,-1,1,DONE,DONE,376,55.3
v5v_t0.4,v5,20059,1,a,1,-1,DONE,DONE,159,11.9
v5v_t0.4,v5,20053,1,b,-1,1,DONE,DONE,360,35.5
