agent_0,agent_1,agent_2,agent_3,seed,rot,reward_0,score_0,rank_0,prodshare80_0,status_0,reward_1,score_1,rank_1,prodshare80_1,status_1,reward_2,score_2,rank_2,prodshare80_2,status_2,reward_3,score_3,rank_3,prodshare80_3,status_3,steps,seconds
v5_hold_margin_beta2.0,v5,producer,producer_v2,20000,0,-1.0,0.0,2,0.3958,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.0208,DONE,1.0,1493.0,1,0.3333,DONE,146,35.4
producer_v2,v5_hold_margin_beta2.0,v5,producer,20003,3,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.125,DONE,1.0,1270.0,1,0.4167,DONE,-1.0,0.0,2,0.2083,DONE,144,33.2
producer,producer_v2,v5_hold_margin_beta2.0,v5,20002,2,-1.0,0.0,2,0.25,DONE,1.0,1282.0,1,0.25,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,273,59.6
v5,producer,producer_v2,v5_hold_margin_beta2.0,20005,1,-1.0,0.0,3,0.2459,DONE,-1.0,68.0,2,0.2459,DONE,-1.0,0.0,3,0.1148,DONE,1.0,14174.0,1,0.3934,DONE,499,69.8
v5_hold_margin_beta2.0,v5,producer,producer_v2,20004,0,1.0,2006.0,1,0.25,DONE,1.0,2006.0,1,0.25,DONE,1.0,2006.0,1,0.25,DONE,1.0,2006.0,1,0.25,DONE,499,69.6
producer_v2,v5_hold_margin_beta2.0,v5,producer,20007,3,-1.0,0.0,2,0.1404,DONE,-1.0,0.0,2,0.4912,DONE,1.0,2222.0,1,0.3684,DONE,-1.0,0.0,2,0.0,DONE,203,60.9
v5,producer,producer_v2,v5_hold_margin_beta2.0,20009,1,-1.0,0.0,2,0.3077,DONE,-1.0,0.0,2,0.0,DONE,1.0,665.0,1,0.4231,DONE,-1.0,0.0,2,0.2692,DONE,149,27.4
producer,producer_v2,v5_hold_margin_beta2.0,v5,20010,2,-1.0,0.0,2,0.2439,DONE,-1.0,0.0,2,0.0244,DONE,1.0,1837.0,1,0.4634,DONE,-1.0,0.0,2,0.2683,DONE,164,27.9
v5_hold_margin_beta2.0,v5,producer,producer_v2,20008,0,1.0,2813.0,1,0.25,DONE,-1.0,0.0,2,0.3684,DONE,-1.0,0.0,2,0.2368,DONE,-1.0,0.0,2,0.1447,DONE,163,43.2
v5,producer,producer_v2,v5_hold_margin_beta2.0,20001,1,-1.0,0.0,3,0.2561,DONE,1.0,23428.0,1,0.2805,DONE,-1.0,183.0,2,0.2927,DONE,-1.0,0.0,3,0.1707,DONE,499,109.2
v5,producer,producer_v2,v5_hold_margin_beta2.0,20013,1,-1.0,0.0,2,0.1111,DONE,-1.0,0.0,2,0.0494,DONE,-1.0,0.0,2,0.3333,DONE,1.0,2159.0,1,0.5062,DONE,112,21.8
producer_v2,v5_hold_margin_beta2.0,v5,producer,20015,3,1.0,1237.0,1,1.0,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.0,DONE,74,13.5
v5_hold_margin_beta2.0,v5,producer,producer_v2,20012,0,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.3194,DONE,-1.0,0.0,2,0.25,DONE,1.0,2162.0,1,0.4306,DONE,132,33.9
v5,producer,producer_v2,v5_hold_margin_beta2.0,20017,1,-1.0,0.0,2,0.1014,DONE,-1.0,0.0,2,0.3188,DONE,1.0,2549.0,1,0.5797,DONE,-1.0,0.0,2,0.0,DONE,132,35.1
producer,producer_v2,v5_hold_margin_beta2.0,v5,20006,2,-1.0,428.0,2,0.3462,DONE,-1.0,0.0,3,0.1154,DONE,1.0,13461.0,1,0.2885,DONE,-1.0,0.0,3,0.25,DONE,499,132.4
producer,producer_v2,v5_hold_margin_beta2.0,v5,20018,2,-1.0,0.0,2,0.283,DONE,-1.0,0.0,2,0.1509,DONE,-1.0,0.0,2,0.1887,DONE,1.0,3135.0,1,0.3774,DONE,235,47.0
producer,producer_v2,v5_hold_margin_beta2.0,v5,20014,2,1.0,11707.0,1,0.4875,DONE,-1.0,0.0,2,0.3625,DONE,-1.0,0.0,2,0.125,DONE,-1.0,0.0,2,0.025,DONE,310,84.1
v5_hold_margin_beta2.0,v5,producer,producer_v2,20020,0,1.0,664.0,1,0.4286,DONE,-1.0,0.0,2,0.3214,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.25,DONE,142,38.4
v5_hold_margin_beta2.0,v5,producer,producer_v2,20016,0,1.0,1895.0,1,0.25,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,346,100.6
producer_v2,v5_hold_margin_beta2.0,v5,producer,20011,3,-1.0,0.0,3,0.2188,DONE,-1.0,897.0,2,0.2812,DONE,1.0,8802.0,1,0.5,DONE,-1.0,0.0,3,0.0,DONE,499,125.3
producer,producer_v2,v5_hold_margin_beta2.0,v5,20022,2,-1.0,0.0,2,0.0,DONE,1.0,1928.0,1,0.52,DONE,-1.0,0.0,2,0.28,DONE,-1.0,0.0,2,0.2,DONE,221,34.9
producer_v2,v5_hold_margin_beta2.0,v5,producer,20023,3,1.0,1439.0,1,0.9697,DONE,-1.0,0.0,2,0.0152,DONE,-1.0,0.0,2,0.0152,DONE,-1.0,0.0,2,0.0,DONE,86,24.0
v5,producer,producer_v2,v5_hold_margin_beta2.0,20021,1,-1.0,0.0,2,0.2151,DONE,-1.0,0.0,2,0.0753,DONE,-1.0,0.0,2,0.2581,DONE,1.0,2718.0,1,0.4516,DONE,127,43.5
